no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
SMURF2,1.65E-07,0.319593082,0.229655072,-0.476767531,-5.503267715,3.73E-08,TRUE,TRUE,,,RBFOX1,1.33E-06,0.328665817,0.233208488,-0.495001118,-3.651175196,0.000261043,TRUE,TRUE,,,CKB,5.42E-08,1.705481961,1.210409944,0.494683751,8.340292433,7.41E-17,TRUE,TRUE
CIRBP,1.65E-07,0.505789763,0.358616776,-0.496094858,-5.205098408,1.94E-07,TRUE,TRUE,,,RAPH1,1.91E-06,0.311636053,0.181688511,-0.778394948,-3.897804865,9.71E-05,TRUE,TRUE,,,NRXN1,6.41E-08,4.239650242,5.426359115,-0.356039276,-5.44508403,5.18E-08,TRUE,TRUE
MT2A,1.99E-07,1.428854974,1.924717935,0.429787543,4.119188931,3.80E-05,TRUE,TRUE,,,CLYBL,2.55E-06,0.448119012,0.310050354,-0.531379399,-4.417637143,9.98E-06,TRUE,TRUE,,,RAMP1,7.52E-08,0.570822328,0.345511947,0.724306172,5.435507366,5.46E-08,TRUE,TRUE
MSI2,2.17E-07,2.234514701,1.886045585,-0.244596991,-5.195827424,2.04E-07,FALSE,FALSE,,,RLBP1,3.08E-06,0.143026029,0.065929454,-1.117282677,-5.156005875,2.52E-07,TRUE,TRUE,,,CRYAB,1.60E-07,0.559351609,0.267697314,1.063152783,8.244882627,1.65E-16,TRUE,TRUE
STMN1,2.26E-07,0.14191033,0.066493796,-1.093687962,-4.183727414,2.87E-05,TRUE,TRUE,,,CD81,3.34E-06,0.422704373,0.630916037,0.577798984,4.136184622,3.53E-05,TRUE,TRUE,,,GPC6,1.60E-07,0.237513106,0.124081056,0.936724257,4.792019012,1.65E-06,TRUE,TRUE
CST3,2.27E-07,2.386033005,1.952230751,-0.289490411,-0.290042249,0.771783916,TRUE,FALSE,,,HLA-A,3.36E-06,0.248084367,0.147458972,-0.750517222,-2.865822481,0.004159274,TRUE,FALSE,,,NDUFA4,2.17E-07,0.241522612,0.115697721,1.061797813,5.463847465,4.66E-08,TRUE,TRUE
FTL,3.04E-07,1.507882203,1.155927782,-0.383472462,-0.866045816,0.386465037,TRUE,FALSE,,,SF1,3.36E-06,0.275843556,0.17673462,-0.642265606,-4.666757849,3.06E-06,TRUE,TRUE,,,MT3,2.56E-07,1.548916252,0.965183395,0.682384142,4.166937461,3.09E-05,TRUE,TRUE
BAALC,6.64E-07,0.413823669,0.292361335,-0.50126364,-3.034282224,0.002411088,TRUE,FALSE,,,DST,4.57E-06,2.204217429,2.575509855,0.224591518,3.985354284,6.74E-05,FALSE,FALSE,,,COX4I1,3.44E-07,0.230032402,0.125845312,0.870185613,5.438501326,5.37E-08,TRUE,TRUE
PAMR1,6.64E-07,0.785941445,0.614912064,-0.354041718,-2.795311265,0.005184977,TRUE,FALSE,,,FTL,5.47E-06,1.498940916,1.157971113,-0.372344254,-0.926900312,0.353978295,TRUE,FALSE,,,DYNLL1,4.90E-07,0.380389845,0.205100677,0.891146478,5.78948272,7.06E-09,TRUE,TRUE
ZFP36L1,7.47E-07,0.461195886,0.705562541,0.613394324,5.069744411,3.98E-07,TRUE,TRUE,,,SON,6.16E-06,0.803997644,1.133958329,0.496104445,3.849508264,0.000118355,TRUE,TRUE,,,APOE,4.90E-07,2.245105706,1.474069811,0.606978522,5.374137752,7.70E-08,TRUE,TRUE
