no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
STMN2,5.59E-28,0.641611609,0.47334117,-0.438819835,-5.911677214,3.39E-09,TRUE,TRUE,,,EID1,1.87E-53,0.44989531,0.281417682,-0.676876346,-7.260837189,3.85E-13,TRUE,TRUE,,,EID1,1.73E-39,0.372160411,0.219046719,0.764685989,8.07047963,7.00E-16,TRUE,TRUE
SOD1,1.01E-27,0.439523947,0.304452774,-0.529723314,-4.271195439,1.94E-05,TRUE,TRUE,,,UBC,8.49E-52,0.519740509,0.3274542,-0.666498371,-9.35653819,8.24E-21,TRUE,TRUE,,,UQCR10,1.73E-39,0.232112542,0.111734484,1.054749975,10.8998402,1.15E-27,TRUE,TRUE
MTRNR2L1,3.42E-27,0.092860424,0.409978038,2.142410848,1.134083232,0.256759637,TRUE,FALSE,,,SLC26A3,3.18E-50,0.859760331,1.792846652,1.060245644,4.043139852,5.27E-05,TRUE,FALSE,,,RABAC1,2.34E-38,0.144297007,0.070771878,1.027793262,8.752509106,2.09E-18,TRUE,TRUE
ICA1,7.56E-27,0.374601975,0.294157331,-0.348770514,-7.031934,2.04E-12,TRUE,TRUE,,,TUBB2A,4.83E-50,0.514965347,0.304641352,-0.757363569,-6.181797973,6.34E-10,TRUE,TRUE,,,ATPIF1,3.72E-38,0.254886302,0.137549353,0.889904494,6.084405716,1.17E-09,TRUE,TRUE
RTN4,3.70E-26,1.350791378,1.10841935,-0.285301074,-2.658243548,0.007854911,TRUE,FALSE,,,ATP6V1F,4.83E-50,0.287728696,0.141616892,-1.022715757,-8.215749115,2.11E-16,TRUE,TRUE,,,RPS15,1.66E-37,0.391838767,0.231705718,0.757966494,10.54791884,5.19E-26,TRUE,TRUE
ARL17B,1.25E-25,0.295633919,0.213685596,-0.46832214,-1.05863892,0.289764255,TRUE,FALSE,,,RAB3A,4.83E-50,0.446476116,0.278120245,-0.682874235,-7.881632083,3.23E-15,TRUE,TRUE,,,DNAJA1,2.96E-37,0.147900252,0.067791467,1.125448909,9.033938054,1.66E-19,TRUE,TRUE
TUBB2A,1.72E-25,0.528697533,0.388915155,-0.442987141,-2.594004901,0.009486513,TRUE,FALSE,,,APOO,1.59E-46,0.492387809,0.319403356,-0.62441557,-5.700860376,1.19E-08,TRUE,TRUE,,,COX5B,3.67E-37,0.211323731,0.111334824,0.924549865,7.744795051,9.57E-15,TRUE,TRUE
RAB3A,2.19E-25,0.45838141,0.35654593,-0.362460598,-3.69763788,0.000217615,TRUE,FALSE,,,RTN4,4.13E-46,1.31571682,0.969360365,-0.440744013,-6.413707001,1.42E-10,TRUE,TRUE,,,TMSB10,7.35E-37,0.209978259,0.10619211,0.983563382,3.794955483,0.00014767,TRUE,FALSE
RPL7,6.43E-25,0.290392302,0.210933215,-0.461216915,-3.142328822,0.001676097,TRUE,FALSE,,,BEX4,8.48E-46,0.280231729,0.159655568,-0.811657445,-8.301575857,1.03E-16,TRUE,TRUE,,,ALDOA,1.08E-36,0.486846594,0.275477063,0.821535048,13.39776269,6.23E-41,TRUE,TRUE
RP11-701H24.9,7.66E-25,1.120756349,0.938991559,-0.255288579,-4.231845549,2.32E-05,TRUE,TRUE,,,TUBA1A,9.78E-46,0.428872472,0.251056421,-0.772537094,-4.575902006,4.74E-06,TRUE,TRUE,,,UQCRH,1.35E-36,0.358708249,0.194730302,0.881333525,9.861994007,6.08E-23,TRUE,TRUE
EID1,2.11E-24,0.461893536,0.361704217,-0.352749939,-3.664612492,0.000247713,TRUE,FALSE,,,CKB,7.34E-45,0.987278451,0.697213285,-0.501856978,-8.319824169,8.81E-17,TRUE,TRUE,,,GPR22,2.62E-36,0.13140615,0.065080387,1.013738052,7.555366045,4.18E-14,TRUE,TRUE
CIRBP,4.31E-24,0.339565195,0.270580827,-0.327628977,-4.554410407,5.25E-06,TRUE,TRUE,,,HINT1,7.56E-45,0.346792622,0.212745507,-0.704944537,-7.384752892,1.53E-13,TRUE,TRUE,,,COX6B1,2.92E-36,0.239351438,0.115000684,1.057488025,9.545666289,1.35E-21,TRUE,TRUE
SCG5,7.93E-24,0.474381284,0.373160402,-0.346251191,-3.591236085,0.000329113,TRUE,FALSE,,,SCG5,1.33E-44,0.46207076,0.302856575,-0.609479064,-5.412081017,6.23E-08,TRUE,TRUE,,,ISOC2,3.65E-36,0.065758762,0.026074861,1.334523585,7.434734089,1.05E-13,TRUE,TRUE
GAD1,8.08E-24,0.98032141,0.824869013,-0.24908979,-2.876509414,0.004021002,FALSE,FALSE,,,COX7C,5.71E-44,0.415391397,0.262380296,-0.662811959,-5.3562284,8.50E-08,TRUE,TRUE,,,COX7C,4.20E-36,0.379318123,0.204234375,0.893182592,11.83286832,2.64E-32,TRUE,TRUE
DHFR,8.75E-24,1.008166664,2.280072803,1.177345735,4.769682251,1.85E-06,TRUE,TRUE,,,GAD1,5.83E-44,0.954858512,0.694168964,-0.460000111,-4.921041138,8.61E-07,TRUE,TRUE,,,BEX4,1.71E-35,0.232321598,0.124264997,0.902703312,9.185647802,4.09E-20,TRUE,TRUE
ERBB4,4.72E-23,8.444300969,10.49843201,0.314123967,3.147556019,0.001646416,TRUE,FALSE,,,UQCR10,1.43E-42,0.258947794,0.143532906,-0.851279747,-7.265764426,3.71E-13,TRUE,TRUE,,,TUBB4B,2.34E-35,0.198748203,0.108536686,0.872759047,9.841470294,7.46E-23,TRUE,TRUE
DYNLL1,4.72E-23,0.484107881,0.353262553,-0.454587754,-1.955909834,0.050475777,TRUE,FALSE,,,UQCRH,2.03E-42,0.384992251,0.250183556,-0.621842442,-6.585573665,4.53E-11,TRUE,TRUE,,,BEX1,3.48E-35,0.397852193,0.229022012,0.796746285,9.702971925,2.93E-22,TRUE,TRUE
BEX2,5.78E-23,0.310351555,0.221116865,-0.489094306,-4.872434068,1.10E-06,TRUE,TRUE,,,CHCHD10,5.04E-42,0.287696902,0.183128,-0.651697292,-5.384691114,7.26E-08,TRUE,TRUE,,,RPS4X,3.63E-35,0.16305088,0.085058309,0.93879814,8.369881999,5.77E-17,TRUE,TRUE
DDX24,8.74E-23,0.654684751,0.525522801,-0.317047016,-2.018098422,0.043581012,TRUE,FALSE,,,PCSK1N,7.12E-42,0.864297738,0.628865004,-0.458778033,-3.294136142,0.000987247,TRUE,FALSE,,,TMA7,1.06E-34,0.237609856,0.136798651,0.796540678,7.359487159,1.85E-13,TRUE,TRUE
EIF5A,2.71E-22,0.128222625,0.104734791,-0.291910081,-2.794840046,0.00519254,TRUE,FALSE,,,ALDOA,2.79E-41,0.490213213,0.353855749,-0.470248011,-5.58375115,2.35E-08,TRUE,TRUE,,,SEPW1,1.18E-34,0.359753852,0.21513767,0.741749976,10.25831127,1.09E-24,TRUE,TRUE
AHI1,4.12E-22,2.616472605,2.274477488,-0.202087999,-2.551028625,0.01074055,FALSE,FALSE,,,RPS15,6.25E-41,0.432279819,0.297689797,-0.538155712,-3.905095866,9.42E-05,TRUE,FALSE,,,SNCG,1.25E-34,0.209882945,0.089714574,1.22617067,7.929259594,2.20E-15,TRUE,TRUE
UBB,5.47E-22,0.453139653,0.348174614,-0.380144726,-2.858189908,0.004260653,TRUE,FALSE,,,RPL6,8.16E-41,0.296592431,0.166403286,-0.833797859,-4.796261732,1.62E-06,TRUE,TRUE,,,PNMAL1,2.88E-34,0.154799635,0.078277984,0.983723557,9.495540522,2.19E-21,TRUE,TRUE
TCEAL4,6.23E-22,0.1744853,0.120012779,-0.53991747,-4.608766276,4.05E-06,TRUE,TRUE,,,GNG3,8.97E-41,0.213542863,0.119619327,-0.83607517,-8.110965008,5.02E-16,TRUE,TRUE,,,GNAS,3.43E-34,1.359483619,0.981578626,0.469883029,6.994729969,2.66E-12,TRUE,TRUE
TCEAL2,8.50E-22,0.271744048,0.193534993,-0.489653992,-3.401588026,0.000669955,TRUE,FALSE,,,SNCG,9.63E-41,0.251031289,0.115267971,-1.122875497,-7.421669629,1.16E-13,TRUE,TRUE,,,RPL15,3.73E-34,0.402837789,0.252738417,0.67255405,7.420814723,1.16E-13,TRUE,TRUE
RPL10A,1.84E-21,0.196671615,0.11644298,-0.756165093,-3.800377398,0.000144476,TRUE,FALSE,,,NDUFS5,2.24E-40,0.247564052,0.139461092,-0.827939153,-5.022891776,5.09E-07,TRUE,TRUE,,,C9orf16,6.91E-34,0.160851469,0.086791281,0.890107098,8.823596808,1.11E-18,TRUE,TRUE
SPCS1,2.10E-21,0.185473801,0.123504691,-0.58664958,-5.240945085,1.60E-07,TRUE,TRUE,,,YWHAH,2.24E-40,0.358173208,0.225841309,-0.665348027,-6.510057152,7.51E-11,TRUE,TRUE,,,CALM1,8.57E-34,1.592033986,1.17283788,0.440867529,8.907540399,5.22E-19,TRUE,TRUE
UBC,2.51E-21,0.533597963,0.424209718,-0.33097549,-2.92841002,0.003407004,TRUE,FALSE,,,RPL7,3.44E-40,0.282853725,0.169562706,-0.738237272,-4.635087786,3.57E-06,TRUE,TRUE,,,RPL6,2.15E-33,0.249566327,0.129520913,0.946238234,7.94998818,1.87E-15,TRUE,TRUE
HINT1,2.67E-21,0.356036786,0.265920039,-0.421033808,-2.421037516,0.01547628,TRUE,FALSE,,,BEX2,1.96E-39,0.302293576,0.176307076,-0.777859939,-6.116536358,9.56E-10,TRUE,TRUE,,,PRDX5,3.11E-33,0.128575039,0.052432423,1.294079454,9.471540404,2.76E-21,TRUE,TRUE
CKB,3.25E-21,1.013604131,0.854296425,-0.246685659,-3.349528854,0.000809491,FALSE,FALSE,,,LDHB,4.10E-39,0.315003895,0.199775257,-0.656991755,-4.371974937,1.23E-05,TRUE,TRUE,,,DYNLRB1,3.38E-33,0.238736358,0.146894424,0.700638661,9.047985441,1.46E-19,TRUE,TRUE
WSB1,3.55E-21,0.631539565,0.536011056,-0.236610362,-4.364154577,1.28E-05,FALSE,FALSE,,,PPIA,1.09E-38,0.518782834,0.39229592,-0.403188412,-4.134276046,3.56E-05,TRUE,FALSE,,,NGFRAP1,5.36E-33,0.507544298,0.301447213,0.751628351,6.818455824,9.20E-12,TRUE,TRUE
CHL1,4.36E-21,0.613051049,0.53414801,-0.198767652,-3.559411212,0.000371687,FALSE,FALSE,,,PARK7,1.27E-38,0.190656915,0.09839573,-0.954311247,-6.920839132,4.49E-12,TRUE,TRUE,,,TAC1,7.77E-33,0.239467964,0.101232382,1.242161816,6.233558439,4.56E-10,TRUE,TRUE
ACTG1,4.36E-21,0.499242989,0.413146476,-0.273088805,-2.420916559,0.01548143,TRUE,FALSE,,,CALM1,1.91E-38,1.89697697,1.506785522,-0.332228088,-4.741521046,2.12E-06,TRUE,TRUE,,,NDUFA1,9.63E-33,0.102978333,0.042339114,1.282277818,7.688698687,1.49E-14,TRUE,TRUE
BEX4,1.40E-20,0.287699922,0.215270807,-0.418412144,-4.289461822,1.79E-05,TRUE,TRUE,,,ATP5J,2.60E-38,0.217894973,0.117313563,-0.893263091,-8.268616303,1.36E-16,TRUE,TRUE,,,GAPDH,9.99E-33,1.220149951,0.79109039,0.625144007,10.48385532,1.02E-25,TRUE,TRUE
GNG3,5.97E-20,0.219237647,0.150240317,-0.545223543,-4.076865635,4.56E-05,TRUE,FALSE,,,SPCS1,2.93E-38,0.18065775,0.093599622,-0.948684534,-6.995893169,2.64E-12,TRUE,TRUE,,,REEP5,1.57E-32,0.305153795,0.190399686,0.680505433,7.967935479,1.61E-15,TRUE,TRUE
CHCHD10,8.33E-20,0.295368951,0.240854209,-0.294358044,-3.503445565,0.000459281,TRUE,FALSE,,,TCEAL2,3.57E-38,0.264686211,0.165357577,-0.678693886,-5.245237394,1.56E-07,TRUE,TRUE,,,HINT1,2.48E-32,0.265511839,0.165620409,0.680895728,9.657916157,4.55E-22,TRUE,TRUE
ATP6V1F,9.70E-20,0.295404201,0.216074995,-0.451158211,-2.525713704,0.011546353,TRUE,FALSE,,,TCEAL4,4.19E-38,0.169952189,0.093566134,-0.861070599,-6.517749163,7.14E-11,TRUE,TRUE,,,NDUFA8,2.59E-32,0.136819589,0.065462114,1.063542699,8.470969208,2.43E-17,TRUE,TRUE
HSPA8,1.01E-19,0.238790911,0.158696224,-0.589480122,-1.706544702,0.087906711,TRUE,FALSE,,,ATP6V0E2,6.00E-38,0.314740327,0.224871854,-0.485058946,-6.622689179,3.53E-11,TRUE,TRUE,,,YWHAG,3.17E-32,0.519616049,0.362648633,0.518873579,9.010583147,2.05E-19,TRUE,TRUE
SNU13,1.02E-19,0.249477867,0.184233065,-0.437379821,-3.275799867,0.001053632,TRUE,FALSE,,,HSPA8,6.34E-38,0.232591129,0.117379642,-0.986613865,-3.877261994,0.000105639,TRUE,FALSE,,,ATP6V0B,4.19E-32,0.280067563,0.156328409,0.841194925,9.143784975,6.03E-20,TRUE,TRUE
H3F3B,1.30E-19,0.358184579,0.263816608,-0.441167838,-2.66898668,0.007608047,TRUE,FALSE,,,TUBB4B,6.85E-38,0.228030417,0.139447332,-0.709505943,-6.445650286,1.15E-10,TRUE,TRUE,,,NDUFB4,9.12E-32,0.090265212,0.03801616,1.247557257,8.064597856,7.35E-16,TRUE,TRUE
HSD17B12,1.93E-19,0.276258699,0.200253547,-0.464192096,-3.759741603,0.000170089,TRUE,FALSE,,,MGST3,7.81E-38,0.382735375,0.263575237,-0.538132418,-6.897090155,5.31E-12,TRUE,TRUE,,,HSPA1A,1.24E-31,0.116238472,0.050247933,1.209951488,7.273091107,3.51E-13,TRUE,TRUE
TAF15,5.28E-19,0.406588964,0.318127581,-0.353965598,-5.02450113,5.05E-07,TRUE,TRUE,,,MTRNR2L1,9.86E-38,0.090446733,0.499937897,2.466608598,1.477705431,0.13948664,TRUE,FALSE,,,ATP5J,1.50E-31,0.174779508,0.091317404,0.936574291,9.968995674,2.08E-23,TRUE,TRUE
MGST3,6.92E-19,0.392942389,0.324106202,-0.277851181,-4.427836583,9.52E-06,TRUE,TRUE,,,TMEM160,2.33E-37,0.249802783,0.169028523,-0.563522826,-5.997505283,2.00E-09,TRUE,TRUE,,,COX4I1,1.79E-31,0.300009729,0.17481868,0.779149938,11.32035826,1.04E-29,TRUE,TRUE
DGKI,6.92E-19,0.73446854,0.653499307,-0.16851499,-4.369847544,1.24E-05,FALSE,FALSE,,,MLLT11,2.37E-37,0.202664023,0.10909614,-0.893489946,-6.607648125,3.90E-11,TRUE,TRUE,,,DCTN3,2.73E-31,0.07137707,0.030397803,1.231493617,6.016915982,1.78E-09,TRUE,TRUE
NDUFS5,9.37E-19,0.254162742,0.181394145,-0.486624669,-3.241328512,0.00118974,TRUE,FALSE,,,COX5B,3.57E-37,0.232023298,0.143037307,-0.697878199,-5.354728321,8.57E-08,TRUE,TRUE,,,TUBB,3.93E-31,0.213188938,0.146920786,0.537094061,6.111764262,9.85E-10,TRUE,TRUE
NMNAT2,1.37E-18,0.867598806,0.759195458,-0.192556706,-4.32401346,1.53E-05,FALSE,FALSE,,,ACTG1,4.62E-37,0.486280002,0.368730363,-0.399221042,-4.452350774,8.49E-06,TRUE,TRUE,,,RAB3A,5.70E-31,0.365880938,0.216483733,0.757115633,12.17216761,4.37E-34,TRUE,TRUE
ARNT2,3.14E-18,0.930315346,0.843684662,-0.141015952,-1.447041179,0.147885391,FALSE,FALSE,,,UQCRB,5.39E-37,0.325435212,0.220005491,-0.564830828,-5.401189655,6.62E-08,TRUE,TRUE,,,NDUFS5,5.74E-31,0.188950174,0.108550072,0.799645169,8.245244198,1.65E-16,TRUE,TRUE
RPS27A,3.97E-18,0.31207137,0.252401142,-0.306157573,-1.176651457,0.239334651,TRUE,FALSE,,,ATP5G3,9.90E-37,0.194041277,0.104511918,-0.892696106,-7.885584838,3.13E-15,TRUE,TRUE,,,TUBB2A,6.72E-31,0.397374484,0.237120953,0.744876087,8.379211786,5.33E-17,TRUE,TRUE
MAMDC2,4.56E-18,0.259522914,0.193315457,-0.424904928,-5.155703207,2.53E-07,TRUE,TRUE,,,DDX24,1.16E-36,0.637671409,0.470376309,-0.438997799,-3.01287912,0.00258782,TRUE,FALSE,,,PARK7,7.07E-31,0.142691262,0.076585453,0.897754704,9.228972399,2.73E-20,TRUE,TRUE
PDXDC1,4.56E-18,0.464540601,0.384777415,-0.271780575,-3.014272949,0.002575959,TRUE,FALSE,,,RPL14,2.18E-36,0.404531412,0.287648718,-0.491943693,-3.812881431,0.000137356,TRUE,FALSE,,,SLC25A4,9.36E-31,0.202087757,0.116651486,0.792777236,9.224072985,2.86E-20,TRUE,TRUE
BAIAP2L1,6.59E-18,0.160664353,0.108039755,-0.572487601,-2.858478107,0.004256785,TRUE,FALSE,,,SNU13,2.65E-36,0.242998789,0.15065702,-0.689681221,-5.278190747,1.30E-07,TRUE,TRUE,,,ACTB,1.03E-30,0.513385749,0.350013134,0.55263419,11.79012136,4.39E-32,TRUE,TRUE
EML6,6.93E-18,0.448092346,0.363947609,-0.300065299,-6.014357033,1.81E-09,TRUE,TRUE,,,H3F3B,3.37E-36,0.348880177,0.221111685,-0.657956361,-4.279459544,1.87E-05,TRUE,FALSE,,,TTC9B,1.22E-30,0.123901115,0.074495473,0.733964516,7.625114626,2.44E-14,TRUE,TRUE
RPH3A,7.91E-18,0.513358129,0.45902001,-0.161408584,-2.021835636,0.043193335,FALSE,FALSE,,,SEPW1,4.83E-36,0.379307939,0.276395998,-0.456632843,-4.01453356,5.96E-05,TRUE,FALSE,,,SELM,1.76E-30,0.140834374,0.084630347,0.734752504,7.049997977,1.79E-12,TRUE,TRUE
RPL14,8.78E-18,0.415318648,0.334866956,-0.31063063,-1.940542228,0.052313827,TRUE,FALSE,,,ATP6V0B,6.08E-36,0.290232004,0.200828471,-0.531242803,-3.692806234,0.000221793,TRUE,FALSE,,,TUBA4A,2.01E-30,0.158439207,0.09043394,0.808993171,7.509080853,5.95E-14,TRUE,TRUE
MAPT,8.95E-18,0.87969031,0.78057449,-0.172459405,-2.073528239,0.038123146,FALSE,FALSE,,,FTL,7.34E-36,0.67201046,0.518270607,-0.374778112,-2.888864362,0.003866358,TRUE,FALSE,,,PTGR1,2.15E-30,0.142830367,0.076122229,0.907913034,8.188637718,2.64E-16,TRUE,TRUE
CHCHD2,9.30E-18,0.262979745,0.188677814,-0.479026896,-3.834383831,0.000125879,TRUE,FALSE,,,RPS27A,8.04E-36,0.303972578,0.200102076,-0.603205048,-3.113987543,0.001845773,TRUE,FALSE,,,TMEM160,3.73E-30,0.211361384,0.131559183,0.683999864,8.41666334,3.87E-17,TRUE,TRUE
SRGAP3,9.83E-18,0.714093763,0.632059536,-0.176053059,-4.053663645,5.04E-05,FALSE,FALSE,,,DYNLRB1,2.19E-35,0.270405257,0.188705225,-0.518988829,-4.704988361,2.54E-06,TRUE,TRUE,,,CACYBP,5.90E-30,0.136591341,0.074604962,0.872522541,6.765625614,1.33E-11,TRUE,TRUE
COX7C,9.87E-18,0.426468379,0.352595887,-0.27442313,-1.924556461,0.054284871,TRUE,FALSE,,,RPS4X,3.07E-35,0.198681731,0.109288804,-0.862313607,-5.717297865,1.08E-08,TRUE,TRUE,,,PPIA,6.01E-30,0.443899495,0.3053293,0.539867026,6.092362717,1.11E-09,TRUE,TRUE
ATP6V0E2,1.15E-17,0.323132365,0.273668189,-0.23969751,-3.543846901,0.000394334,FALSE,FALSE,,,SELM,3.59E-35,0.18332956,0.108701785,-0.754063793,-4.891016667,1.00E-06,TRUE,TRUE,,,CHCHD10,6.47E-30,0.253705435,0.142531265,0.83187601,5.9520521,2.65E-09,TRUE,TRUE
RPL6,1.34E-17,0.304502114,0.227888727,-0.418122685,-2.700309434,0.006927501,TRUE,FALSE,,,PGAM1,4.14E-35,0.356269388,0.256403602,-0.474551997,-4.145217757,3.39E-05,TRUE,FALSE,,,GNG3,8.68E-30,0.150806575,0.093111228,0.695672278,8.223832778,1.97E-16,TRUE,TRUE
PARK7,1.77E-17,0.195738821,0.132438756,-0.563604548,-3.324965055,0.000884296,TRUE,FALSE,,,TSPAN7,6.80E-35,0.594835186,0.44981097,-0.403171143,-3.453206032,0.000553966,TRUE,FALSE,,,ATP5D,9.03E-30,0.169450383,0.092234228,0.877488763,7.909610084,2.58E-15,TRUE,TRUE
NAV2,1.80E-17,1.140843226,1.038845389,-0.135119596,-4.404290788,1.06E-05,FALSE,FALSE,,,MAMDC2,1.35E-34,0.252780572,0.156843886,-0.688556292,-6.303042422,2.92E-10,TRUE,TRUE,,,TPT1,9.15E-30,0.210421017,0.131867621,0.674188437,7.96059246,1.71E-15,TRUE,TRUE
LDHB,1.83E-17,0.323404638,0.259688921,-0.316555904,-1.290889789,0.196741897,TRUE,FALSE,,,MDH1,1.95E-34,0.440819552,0.28468712,-0.630810991,-7.951669954,1.84E-15,TRUE,TRUE,,,SERF2,9.84E-30,0.193755545,0.12115854,0.677341497,7.095709358,1.29E-12,TRUE,TRUE
