no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
IFI6,0.002195243,0.330686572,0.118956789,-1.47502685,-1.376665781,0.168615603,TRUE,FALSE,,,VDAC3,3.54E-05,0.248448593,0.156021537,-0.671202181,-3.046461912,0.002315518,TRUE,FALSE,,,SARAF,2.34E-07,0.485203758,0.292210715,0.731581642,5.032196656,4.85E-07,TRUE,TRUE
CACNA1D,0.002360934,0.581345508,0.439647586,-0.403048301,-4.216446723,2.48E-05,TRUE,TRUE,,,HLA-A,7.29E-05,0.379892128,0.262501141,-0.533266123,-2.48316536,0.013022062,TRUE,FALSE,,,CST3,4.60E-07,1.668666807,1.142361033,0.546677238,7.443019082,9.84E-14,TRUE,TRUE
ACAT2,0.00316808,0.101153883,0.052708718,-0.940438189,-1.930955653,0.053488537,TRUE,FALSE,,,NOVA1,8.18E-05,2.860351453,3.394832719,0.247148064,5.062528882,4.14E-07,FALSE,FALSE,,,SOD1,4.60E-07,0.208076774,0.108014388,0.945892436,4.388066437,1.14E-05,TRUE,TRUE
SNAP25,0.003503293,0.589319729,0.464038949,-0.344804661,-3.17908729,0.001477396,TRUE,TRUE,,,IFI6,9.99E-05,0.325026697,0.10681091,-1.605499204,-1.538880936,0.123833366,TRUE,FALSE,,,RPL10,6.15E-07,0.382784892,0.211973771,0.852648129,4.559851786,5.12E-06,TRUE,TRUE
PTPRZ1,0.003529331,4.450736858,4.982351857,0.162782703,2.928271069,0.003408527,FALSE,FALSE,,,AHI1,0.000119847,0.758104915,0.589744265,-0.362308036,-2.74677431,0.006018453,TRUE,FALSE,,,HEPN1,8.32E-07,0.188910081,0.084403529,1.162324469,4.246471929,2.17E-05,TRUE,TRUE
LRRC75A,0.003776338,0.043606344,0.018347419,-1.248960935,-3.721815019,0.000197796,TRUE,TRUE,,,B2M,0.000153198,0.607462834,0.390471333,-0.637579508,-2.316637284,0.020523499,TRUE,FALSE,,,TSPAN7,9.38E-07,0.605168265,0.40541399,0.57794046,5.054742788,4.31E-07,TRUE,TRUE
SLC6A11,0.004224829,0.176724842,0.122166156,-0.532660179,-2.79315456,0.005219675,TRUE,TRUE,,,MCF2L2,0.00016342,0.575808519,0.411657732,-0.484143808,-4.515898037,6.30E-06,TRUE,TRUE,,,SPDYE2,1.07E-06,0.204249542,0.104592695,0.965550743,4.942201562,7.72E-07,TRUE,TRUE
PDGFRA,0.004224829,0.319434134,0.438730998,0.457818159,3.872598808,0.000107681,TRUE,TRUE,,,RAPH1,0.000163795,0.329301541,0.223292605,-0.560473789,-3.571002398,0.000355618,TRUE,TRUE,,,SEPW1,1.32E-06,0.307830058,0.172891488,0.83226727,4.029071066,5.60E-05,TRUE,TRUE
TNIK,0.004359835,1.235087176,1.035719793,-0.25397913,-3.164854258,0.001551606,TRUE,TRUE,,,NDUFB9,0.000163795,0.163040286,0.089704734,-0.861972456,-3.0611463,0.002204913,TRUE,FALSE,,,ATP6AP2,1.42E-06,0.240164554,0.10655281,1.172454602,4.552390837,5.30E-06,TRUE,TRUE
ZNF565,0.005086448,0.320918231,0.224880826,-0.51304509,-3.410284509,0.000648951,TRUE,TRUE,,,HEPN1,0.000168704,0.161289616,0.084841651,-0.926808958,-2.399469463,0.016418849,TRUE,FALSE,,,TUBA1A,1.97E-06,0.424794901,0.282334552,0.58936075,4.147061754,3.37E-05,TRUE,TRUE
CD163L1,0.005179602,0.092040594,0.156835106,0.768906325,3.484420046,0.000493205,TRUE,TRUE,,,AFAP1,0.000210514,0.502460442,0.364931357,-0.461384897,-3.718580206,0.000200346,TRUE,TRUE,,,THY1,2.01E-06,0.362490576,0.241956452,0.583196076,5.517477943,3.44E-08,TRUE,TRUE
MT1M,0.00529348,0.054229183,0.09954631,0.876298395,4.676989126,2.91E-06,TRUE,TRUE,,,GPNMB,0.000210514,0.909082494,0.684165277,-0.41006633,-2.895385983,0.003786926,TRUE,FALSE,,,CKB,2.18E-06,0.553616997,0.379607716,0.544378919,4.526342398,6.00E-06,TRUE,TRUE
KIFC2,0.005479263,0.019491286,0.059271799,1.604516595,4.261135341,2.03E-05,TRUE,TRUE,,,UBC,0.000210514,0.266726482,0.17458222,-0.611454431,-3.78900051,0.000151255,TRUE,TRUE,,,RASGEF1B,2.81E-06,1.089547064,1.725045818,-0.662906165,-2.544956954,0.010929121,TRUE,FALSE
