no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
CHRM5,9.54E-24,0.168358437,0.097954615,-0.781350649,-1.196608499,0.231459186,TRUE,FALSE,,,FCHSD2,4.63E-21,0.547074378,0.693504311,0.342167862,2.672137898,0.007536967,TRUE,FALSE,,,H3F3B,7.07E-24,0.372063381,0.260508919,0.514215638,8.361984639,6.17E-17,TRUE,TRUE
CA2,9.82E-23,0.27889836,0.366827165,0.395361031,3.996016356,6.44E-05,TRUE,TRUE,,,RBFOX1,5.99E-18,0.205761054,0.129471539,-0.668334944,-2.312269626,0.020762829,TRUE,FALSE,,,UBC,2.69E-23,0.275173052,0.171262631,0.684128799,8.116356583,4.80E-16,TRUE,TRUE
LDLRAD3,4.91E-22,0.106426186,0.169600848,0.672290213,3.068400018,0.002152083,TRUE,FALSE,,,SLC44A1,2.39E-17,2.598988852,2.910620999,0.163376548,2.087902501,0.036806631,FALSE,FALSE,,,SOD1,8.13E-23,0.175552302,0.108405923,0.695457333,8.14397401,3.83E-16,TRUE,TRUE
RBFOX1,1.73E-21,0.212109635,0.13005196,-0.705722012,-3.473604647,0.000513517,TRUE,FALSE,,,CCK,2.60E-17,0.094431081,0.048645092,-0.956967514,-4.619672367,3.84E-06,TRUE,TRUE,,,NUPR1,1.12E-22,0.040803662,0.011591909,1.815580441,3.422746155,0.000619919,TRUE,FALSE
LDB3,2.06E-21,0.306342733,0.218706894,-0.486147935,-6.2509862,4.08E-10,TRUE,TRUE,,,SLC5A11,2.90E-17,0.747872975,0.602574635,-0.311653307,-4.234515514,2.29E-05,TRUE,TRUE,,,LAMA2,4.82E-22,0.319833028,0.567932749,-0.828401177,-3.278810343,0.001042457,TRUE,FALSE
PDE8A,3.57E-21,1.114625001,0.928422298,-0.263705341,-6.768295882,1.30E-11,TRUE,TRUE,,,ABCA6,4.25E-17,0.047737477,0.092471199,0.953881767,2.213984624,0.026829837,TRUE,FALSE,,,CFL1,2.71E-21,0.211972565,0.13925024,0.606197743,8.131253372,4.25E-16,TRUE,TRUE
RDX,1.20E-20,0.363211823,0.452977835,0.318629294,7.48109316,7.37E-14,TRUE,TRUE,,,SPP1,5.45E-17,0.600587282,0.760535069,0.340640849,2.22383647,0.026159449,TRUE,FALSE,,,B2M,2.87E-21,0.253730252,0.161827907,0.648835119,5.388068507,7.12E-08,TRUE,TRUE
GPRC5B,2.08E-20,0.616404778,0.743585848,0.270621269,6.796489251,1.07E-11,TRUE,TRUE,,,ERBB4,7.06E-16,0.847360053,1.07434923,0.342416012,3.019270906,0.002533838,TRUE,FALSE,,,GRIN2A,9.07E-21,0.151361858,0.087768068,0.78623365,2.543712853,0.010968121,TRUE,FALSE
OLIG1,2.61E-20,0.220472808,0.3032736,0.460019188,6.764510578,1.34E-11,TRUE,TRUE,,,PDK4,1.13E-15,0.099090822,0.1525411,0.622374668,3.895319273,9.81E-05,TRUE,TRUE,,,RASGEF1B,7.27E-20,0.650436148,0.922314399,-0.503851183,-3.051836358,0.002274461,TRUE,FALSE
MAN2A1,2.87E-20,1.381877934,1.629283796,0.237607738,2.33087067,0.01976018,FALSE,FALSE,,,AGMO,9.34E-15,0.048811395,0.088114431,0.852160342,2.729587422,0.006341363,TRUE,FALSE,,,SRP14,1.11E-19,0.156798115,0.097561895,0.68451853,8.006774407,1.18E-15,TRUE,TRUE
DCC,3.09E-20,0.11488161,0.184665715,0.684768171,1.025078992,0.305325917,TRUE,FALSE,,,OLIG1,1.95E-14,0.213871745,0.310875031,0.53958885,6.34348378,2.25E-10,TRUE,TRUE,,,HSPH1,1.39E-19,0.097734545,0.050257642,0.959525602,5.922842265,3.16E-09,TRUE,TRUE
TLE4,2.19E-19,0.384552954,0.490401497,0.35078111,4.289053987,1.79E-05,TRUE,TRUE,,,SPARCL1,3.96E-14,0.11240514,0.064240789,-0.807146484,-4.304110878,1.68E-05,TRUE,TRUE,,,COX7C,4.15E-19,0.120536506,0.069856315,0.78700769,8.308035759,9.73E-17,TRUE,TRUE
ITPKB,6.94E-19,0.145193711,0.206616403,0.50897583,5.746669491,9.10E-09,TRUE,TRUE,,,NDRG2,4.74E-14,0.277751514,0.374847899,0.432510539,3.452111806,0.000556217,TRUE,FALSE,,,HINT1,4.34E-19,0.132167522,0.088867695,0.572636729,7.23636642,4.61E-13,TRUE,TRUE
ERBB4,9.34E-19,0.873509141,1.067051157,0.288734638,2.584796615,0.009743645,TRUE,FALSE,,,HSPA1B,6.38E-14,0.092756846,0.035243651,-1.396090392,0.253714913,0.799715812,TRUE,FALSE,,,TMSB4X,5.50E-18,0.325278312,0.238152529,0.449788768,8.406733396,4.22E-17,TRUE,TRUE
EFHD1,9.34E-19,0.318848162,0.402562671,0.336343835,2.950466989,0.003172939,TRUE,FALSE,,,NPTX2,7.86E-14,0.017602817,0.036291133,1.043810776,2.389847368,0.016855376,TRUE,FALSE,,,PRDX1,6.59E-18,0.171126104,0.112496332,0.605181883,8.86639927,7.55E-19,TRUE,TRUE
