gene_symbol,marker_for,source
MERTK,astrocyte,OLDHAM EXTENDED
PLSCR4,astrocyte,OLDHAM EXTENDED
SLC18B1,astrocyte,OLDHAM EXTENDED
APOE,astrocyte,OLDHAM EXTENDED
ANTA1,astrocyte,OLDHAM EXTENDED
ATP13A4,astrocyte,OLDHAM EXTENDED
CLDN10,astrocyte,OLDHAM EXTENDED
GPR56,astrocyte,OLDHAM EXTENDED
LRP4,astrocyte,OLDHAM EXTENDED
CDC42EP4,astrocyte,OLDHAM EXTENDED
MYO10,astrocyte,OLDHAM EXTENDED
TIMP3,astrocyte,OLDHAM EXTENDED
APCDD1,astrocyte,OLDHAM EXTENDED
SOX9,astrocyte,OLDHAM EXTENDED
EDNRB,astrocyte,OLDHAM EXTENDED
MOG,oligodendrocyte,OLDHAM EXTENDED
SLC44A1,oligodendrocyte,OLDHAM EXTENDED
FA2H,oligodendrocyte,OLDHAM EXTENDED
CNP,oligodendrocyte,OLDHAM EXTENDED
CAPN3,oligodendrocyte,OLDHAM EXTENDED
CLDND1,oligodendrocyte,OLDHAM EXTENDED
ERBB3,oligodendrocyte,OLDHAM EXTENDED
GPR37,oligodendrocyte,OLDHAM EXTENDED
CTCN2,oligodendrocyte,OLDHAM EXTENDED
MAG,oligodendrocyte,OLDHAM EXTENDED
SLC31A2,oligodendrocyte,OLDHAM EXTENDED
ENPP2,oligodendrocyte,OLDHAM EXTENDED
HSPA2,oligodendrocyte,OLDHAM EXTENDED
UGT8,oligodendrocyte,OLDHAM EXTENDED
DBNDD2,oligodendrocyte,OLDHAM EXTENDED
TTYH2,oligodendrocyte,OLDHAM EXTENDED
NPC1,oligodendrocyte,OLDHAM EXTENDED
TMEM125,oligodendrocyte,OLDHAM EXTENDED
TMEM63A,oligodendrocyte,OLDHAM EXTENDED
RNASE1,oligodendrocyte,OLDHAM EXTENDED
RASGRP3,oligodendrocyte,OLDHAM EXTENDED
SLC45A3,oligodendrocyte,OLDHAM EXTENDED
FAM107B,oligodendrocyte,OLDHAM EXTENDED
SHDTC2,oligodendrocyte,OLDHAM EXTENDED
PLP1,oligodendrocyte,OLDHAM EXTENDED
USP54,oligodendrocyte,OLDHAM EXTENDED
TF,oligodendrocyte,OLDHAM EXTENDED
NDE1,oligodendrocyte,OLDHAM EXTENDED
FOLM1,oligodendrocyte,OLDHAM EXTENDED
PMP22,oligodendrocyte,OLDHAM EXTENDED
GJB1,oligodendrocyte,OLDHAM EXTENDED
C10ORF90,oligodendrocyte,OLDHAM EXTENDED
GLDN,oligodendrocyte,OLDHAM EXTENDED
ELOVL1,oligodendrocyte,OLDHAM EXTENDED
TMEM98,oligodendrocyte,OLDHAM EXTENDED
RFFL,oligodendrocyte,OLDHAM EXTENDED
SLC5A11,oligodendrocyte,OLDHAM EXTENDED
KIF13B,oligodendrocyte,OLDHAM EXTENDED
PSEN1,oligodendrocyte,OLDHAM EXTENDED
CAASPA,oligodendrocyte,OLDHAM EXTENDED
TMEM144,oligodendrocyte,OLDHAM EXTENDED
SEPP1,oligodendrocyte,OLDHAM EXTENDED
PIP4K2A,oligodendrocyte,OLDHAM EXTENDED
CARNS1,oligodendrocyte,OLDHAM EXTENDED
SLAIN1,oligodendrocyte,OLDHAM EXTENDED
ZDHHC9,oligodendrocyte,OLDHAM EXTENDED
CNNDP1,oligodendrocyte,OLDHAM EXTENDED
PLAG2G16,oligodendrocyte,OLDHAM EXTENDED
PXK,oligodendrocyte,OLDHAM EXTENDED
APBB1P,microgla,OLDHAM EXTENDED
AIF1,microgla,OLDHAM EXTENDED
TYROBP,microgla,OLDHAM EXTENDED
C3,microgla,OLDHAM EXTENDED
CD74,microgla,OLDHAM EXTENDED
C1QB,microgla,OLDHAM EXTENDED
LAPTM5,microgla,OLDHAM EXTENDED
ALOX5AP,microgla,OLDHAM EXTENDED
LST1,microgla,OLDHAM EXTENDED
RGS10,microgla,OLDHAM EXTENDED
LY86,microgla,OLDHAM EXTENDED
HLA-DRA,microgla,OLDHAM EXTENDED
HCLS1,microgla,OLDHAM EXTENDED
CSF1R,microgla,OLDHAM EXTENDED
CYBB,microgla,OLDHAM EXTENDED
FYB,microgla,OLDHAM EXTENDED
C1QA,microgla,OLDHAM EXTENDED
HAVCR2,microgla,OLDHAM EXTENDED
