gene_symbol
ABO
C1QL3
C1R
COL22A1
CRABP1
DAPK2
DCSTAMP
ESR1
FGF10
FILIP1L
FREM3
GLP2R
IL14
IL26
LTK
OR2T8
RELN
SCUBE1
TTC12
TWIST2

