"","C1_1","C1_2","C1_3","C1_4","C1_5","C1_6","C1_8","C2_1","C2_2","C2_3","C2_4","C2_5","C2_6","C2_7","C2_8","C3_2","C3_3","C3_4","C3_5","C3_6","C3_7","C4_1","C4_2","C4_3","C4_4","C4_5","I1_1","I1_2","I1_3","I1_4","I1_5","I1_6","I1_8","I2_1","I2_2","I2_3","I2_4","I2_5","I2_6","I2_7","I2_8","I3_1","I3_2","I3_3","I3_4","I3_5","I3_7","I3_8","I4_1","I4_2","I4_3","I4_4","I4_5","I4_6","I4_7","I4_8","I5_1","I5_2","I5_3","I5_4","I5_5","I5_6","I5_7","P1_1","P1_2","P1_3","P1_4","P1_5","P1_6","P1_8","P2_1","P2_2","P2_3","P2_4","P2_5","P2_6","P2_7B","P2_8","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8"
"astrocyte",-4.5128842639846,-4.70211485184626,-5.28356744174365,-2.90146135365078,-5.47099831072968,-1.14701532835328,-2.38364220348302,-4.02311276261872,-3.5700243169003,-3.569262979467,-1.42418872322182,-3.07603378378767,-2.68803927279728,-6.06695043978882,-3.63088287415439,-3.1591152243594,-2.69078090224025,-3.60699826615771,-3.2906223480331,-2.94643323430032,-2.8965141252588,-2.16966497234955,-2.19825073737357,-2.51404627964252,-2.10436370438207,-2.54350522068028,-2.40884738870778,-2.71375706753772,-2.64001094210431,-2.70386214798403,-1.71972122572931,-2.06967261318548,-3.79497921454852,-2.96778664663564,-2.77755979143322,-3.04587972433829,-2.64417502997762,-2.80754484600472,-3.04384172197223,-1.83282267040702,-2.97918746789719,-3.08576317517751,-2.19128782898622,-2.30919460519917,-1.68194788112113,-2.0127862128292,-2.68895051530115,-2.60941744491814,-2.12979678887649,-1.84929044746077,-1.52097747627185,-2.54408874818051,-2.40723332767522,-2.47698092095878,-2.37303272845348,-2.70338161011664,-2.59213867517165,-2.71239904479275,-3.01459588773574,-2.91336868323964,-2.04867139730425,-2.41022600333237,-1.674456918074,-2.31359464660715,-2.19048699105797,-1.89304515205624,-1.94826557586945,-2.20055077058301,-2.25430777464885,-2.62112088013172,-3.41484328992886,-2.83176620986885,-2.25639763358669,-2.6303163002513,-2.44969142973326,-2.16598735297039,-2.38319030765219,-3.39456223810866,-2.63948524632168,-2.31953435788663,-2.59848457657584,-3.62667433145318,-2.14770128686057,-2.76005186610988,-3.08877210049491,-2.00477885411831,-1.5991419302465,-2.11886745293308,-3.42620975149498,-4.60336721574444,-2.86327099419675,-2.79975593782737,-2.87434246333147,-2.73119241535886,-1.34366861254587,-2.2691348780092,-0.687128775307905,-1.57835991230879,-1.33428083116544,-3.33716704792003,-2.3982361958022
"endothelia",-8.16549529526504,-7.61549741606641,-7.40628534518858,-6.09148986473374,-5.96338338844762,-4.32571975454229,-6.76619921710201,-7.68467895439313,-6.5695668254648,-5.94065622152882,-5.57782221279245,-6.9057908900548,-6.65612641264203,-6.74449859478049,-5.33483380793164,-7.33981358144968,-5.35999543054934,-6.01210615501982,-7.94238711000796,-5.61763123763511,-4.71896745535808,-4.95545459889153,-5.34889638034301,-5.65806931855315,-5.11795287870088,-5.63144810408514,-8.39666112777413,-7.18715483843059,-5.83580089407481,-7.04410754321366,-6.4684627017969,-6.65044356694724,-10.2288892389453,-7.24839720447749,-8.81555127384963,-6.80313110988516,-6.2135079265583,-6.24708637305083,-5.71558283902785,-7.4862926987997,-7.59775927581791,-6.88185011695647,-5.63666773073837,-6.65553433807458,-5.82804546950408,-7.20598644493536,-7.38872887533936,-7.09232603523067,-6.46798429453867,-5.46783062607353,-6.63721454592337,-6.23194907093147,-7.67268426830822,-6.89012257341522,-7.2444540288711,-6.75357752886859,-7.8151660423648,-8.2822998652441,-6.92972171978755,-7.63622752925282,-7.00274849081383,-4.52487440018601,-6.50422277362563,-6.39215521231883,-5.5978722920702,-3.86687635448347,-5.2039204751088,-5.64258993933142,-5.75592745022313,-6.51474867539806,-7.11481961966424,-5.59923498714732,-6.323943241533,-5.93541841675604,-5.42093342379867,-5.39594126064841,-4.6846711524035,-6.94511948261908,-5.5500852607031,-5.8820342638002,-6.67530498043933,-5.708999419853,-5.37640489500633,-4.67407041108238,-5.32542421273811,-5.27659545967385,-6.95443909099852,-5.40389841880531,-7.16260132465093,-8.32828473602459,-5.52315691720342,-6.00183450868025,-5.54796656388788,-5.74926961809421,-6.96825284468013,-6.51249269241067,-5.45844069466309,-4.6355520072562,-6.79109364294588,-5.79868717019864,-5.77585811511739
"excitatory",-2.11731213721384,-1.07127578196075,-1.90009835849755,-2.92998183812432,-1.67538804412278,-3.03818166058936,-1.86513718407537,-1.5112010369342,-1.70897462113372,-1.62074739370775,-2.96453938705944,-2.28380727021983,-2.18963489348284,-1.38338383920745,-1.64554529120128,-1.87501934939196,-2.01985404640038,-1.8153712763659,-1.62068733219986,-2.8676034478555,-1.88600758226153,-1.83201766032645,-1.93798348426016,-1.68374937217691,-2.31822398254289,-2.28250116756834,-4.33304859333249,-3.7060534567791,-3.42359798568073,-3.21182745957904,-3.93117182989507,-3.31735512825228,-4.71755175929012,-3.6193259797934,-3.62325695226381,-2.27887706978732,-3.19248452241907,-3.6956923904491,-3.14990798524315,-3.69407227611521,-4.11965632320098,-2.66982791763822,-2.34192253635101,-2.912377169507,-3.06415614586089,-5.31218047786965,-4.91202837847023,-4.71611195447296,-3.09185982648191,-3.13111447781059,-4.86448465263065,-3.85184055694445,-4.26521018634715,-2.96974835023104,-3.0612605322112,-3.70378161174661,-4.63285073181853,-4.27613878349418,-3.55689673842877,-2.67634704830643,-2.91702262215183,-2.23600820397486,-2.91127507282,-1.70410680516058,-2.47293905005034,-3.45824964800145,-2.80775842966376,-2.33967838931176,-4.03549207036104,-2.17844403515809,-1.59019175316107,-2.42080440868988,-2.14788968905576,-1.83569050175638,-2.79459539939732,-2.39496627409763,-2.01333148732332,-1.98848093030554,-2.53397731201951,-2.41418514655499,-1.79243853748258,-1.80622594930971,-2.27888935801049,-1.79384892498116,-1.70614425974969,-2.63077976768937,-3.60485684830102,-1.85720263581544,-2.07610105312732,-1.30559898444619,-2.27598902312116,-2.30597135456359,-2.05779571667421,-2.05118724365697,-2.91970701245884,-2.51822923569372,-4.38372747751488,-2.89702049855664,-3.49692768731698,-1.58106495855841,-2.11904823306361
"inhibitory",-4.33749992026758,-4.98793802192496,-4.76989711141267,-4.75504816127528,-3.90848843351118,-5.8559041420036,-3.52687307734302,-3.5568595083826,-3.08065266156216,-4.16713032935256,-4.30647362081963,-4.10147904216854,-4.80419721288132,-3.86324120541414,-4.08437437205075,-3.99876248724053,-4.39540197417872,-4.16741893009634,-4.66897737116206,-4.23032388545623,-4.37418937484521,-4.05070098434946,-3.89789160890308,-3.23237429501107,-3.9447939186378,-4.05023206431458,-3.68913094895596,-3.80824910970883,-4.92312884744842,-3.98379812545602,-4.57498804368649,-3.99124891033724,-4.27037592486088,-4.24574007396041,-3.5904218096443,-4.45845026063838,-3.9523484479835,-4.53239110503286,-4.35892584791084,-3.42255121850612,-3.23023102160364,-4.3748767310105,-4.52110507938835,-3.57888081832559,-4.77973876430457,-3.94249337958291,-3.86881208858444,-3.87416945209181,-3.35428508294311,-4.1074512952686,-5.1316367585947,-4.15738226165536,-3.39338909622325,-3.86306142541186,-4.63389418242785,-4.38553610317218,-3.03335996991903,-5.8994302424467,-4.08955815745472,-3.73588418362526,-4.98593874888234,-5.2230549938559,-3.95370495016737,-3.40025755380899,-3.08142188856121,-4.42835817253585,-3.28187603715678,-3.40985646701022,-4.83962296696357,-3.54835177430158,-3.74734404097996,-3.46892634511583,-3.39986480619807,-3.41541102394926,-3.97872005719472,-3.63371139278188,-3.76132643391436,-3.68709267891164,-4.36392837334568,-4.54049736729329,-3.59515871620699,-4.27777685567948,-3.66829865136863,-3.74908593179157,-3.31099957430188,-3.69581628579923,-3.90906537136678,-3.88659137662615,-3.86243174457548,-3.91563734668366,-3.61089480755195,-4.03518436005247,-3.45465463019748,-3.68260908620041,-3.65675540886374,-3.33041040397728,-4.89177229330086,-5.42615059115901,-4.41055863195434,-4.37422290509688,-2.91046337766088
"microglia",-7.8749717017404,-9.30556303855417,-10.6951315545865,-6.78075934119203,-7.8063524805431,-7.73986680662714,-7.6931714180437,-8.49932949713705,-9.70405450995903,-7.89044235500164,-7.07608602997013,-8.48744163889765,-7.57535346012798,-13.2652965703398,-7.83778276575969,-8.61030248557217,-9.09469568535838,-7.50927151432891,-8.75595039543265,-6.90618795489542,-8.06835276529009,-7.10792206439506,-6.83567027975709,-10.1310373325605,-6.02933903130078,-7.24600931886976,-5.9226082049288,-6.21509321920602,-7.14410773811329,-5.86114799312269,-5.85497551690366,-6.79564405288401,-6.06767198860199,-6.79226897037007,-6.71379087273822,-6.98074545119925,-5.61840857436157,-7.2464333797304,-6.20349228825175,-7.63172889050792,-6.32002468293783,-5.60114090863576,-6.1261667251673,-6.2746058989983,-6.35554389458968,-5.80308450209979,-6.92082917667304,-6.07064630714818,-5.78524814559308,-6.36669314925568,-6.3682480316806,-6.99629243190189,-5.3481176264338,-9.31133408959379,-6.72552510345957,-6.31498713468637,-6.94495254666087,-7.99796181424797,-6.27786709024287,-8.01548500791957,-6.14497151415372,-9.1202953720915,-6.04941821329725,-9.34238594257905,-6.66571129102613,-7.11367510504001,-4.90637739646492,-6.33896951886737,-7.52555262262001,-7.74120530093809,-6.88631226478153,-6.83969260016974,-8.24673484834852,-7.44888109463765,-7.45590893763108,-7.55384397214533,-6.8229924843382,-7.66236299138225,-8.01391881958723,-7.51173073801631,-7.92984435633462,-8.44741792385624,-7.03478945491304,-7.16248410109269,-7.80245849093317,-7.22828078919818,-6.37755356350854,-10.3087907469991,-6.56907578866112,-11.1722446412574,-7.63829199030168,-6.57676596241868,-6.80393701465338,-6.77192648784308,-7.48274945347965,-6.86538759520681,-6.49635362626807,-6.35903689194619,-7.03706901307485,-8.83182837453379,-8.80717808436341
"oligodendrocyte",-0.970323471933882,-2.69668533051447,-1.57393480001123,-0.519818983918893,-2.85668514611174,-1.25247666685609,-2.73245585824237,-2.89390699015209,-5.37418642029084,-2.02897173388993,-1.56514748028357,-1.38217240110968,-0.889484800905663,-3.72760854034196,-3.02223828709426,-1.85900768691631,-1.25499323542074,-1.41116643424884,-3.28467387335671,-0.33503820033246,-3.8099748644251,-2.86206069407497,-2.10953431066006,-4.36391413831601,-2.08860212103139,-1.27036705534558,0.517418302131088,-0.277632335154085,0.155851166046463,-0.526265585907076,-0.0844053563526546,-0.577661963254747,0.894759109362566,-0.120834592117386,-0.270743010908396,-0.819994025725751,-0.659423710448866,-0.411826300556454,-0.774154297004835,-0.288756678298324,-0.135772877212889,-0.555064673332832,-1.16881301530953,-1.05281376193273,-0.482406869020874,0.0631392261183366,-0.0222294653773397,1.12739550376437,-0.727701375510806,-0.638632822531905,1.14003022996314,-0.00635429952234046,0.0749065851068795,0.751017984393908,-0.462428955570358,0.101063448970213,0.385110644046794,0.247842654999597,0.182543658667191,-0.7329940784081,-0.697266827880553,-2.66669952183039,-1.48258931801484,-4.71303226737639,-1.77069952863627,-1.19970411815588,-2.46208636037467,-3.18512779308829,-0.124132714915663,-0.973415659359107,-1.88301373373487,-0.64444146690944,-1.51194008237954,-2.11132936921354,-0.650825867402236,-1.60769744006922,-1.47591356642571,-1.30018854708981,-0.241242429427226,-0.816078715840219,-1.73873138109435,-1.54564819001295,-3.19522618416085,-2.24286992702248,-2.98555913074181,-1.07254488196156,0.398422296409493,-2.58691518859762,-0.824517181162485,-6.06786565206744,-0.805686167138963,-0.893519088334984,-1.71179097348721,-2.30165236557835,-0.359332144533373,-1.2136183122897,0.0892443479963472,-1.15319848843803,-0.296701268759935,-1.8674154623687,-3.32065915088881
"opc",-4.43370455633452,-5.49091700613918,-4.94182929547317,-3.68840039593207,-4.4921618982157,-3.04973272936386,-3.89901693541874,-4.93634727400645,-4.63284267038284,-4.51566312267291,-3.16190553099374,-4.22167303980294,-4.02388961796469,-5.23009981420467,-3.26458922220083,-5.04080128399809,-4.41492066698825,-4.64348989192911,-4.97643014137062,-3.06479341982241,-5.53459564530282,-4.14179830956546,-4.56425156981095,-4.06447559974276,-4.31425126414277,-4.24909208242466,-4.09884952937481,-4.52515821699893,-4.38995944633976,-4.0287887279039,-3.43567560145981,-3.47283123349197,-4.63712201992775,-4.69667140328603,-4.46592073276328,-3.89524811376973,-4.00431487079741,-4.70084955408603,-4.59039243975641,-3.77288290542722,-4.0674713160213,-4.01565440406274,-3.69362910455912,-3.49921513758682,-3.45947660683951,-3.59599329094303,-4.37800491780512,-3.72826413780486,-4.32667732553197,-3.73695632005143,-4.25452520489132,-3.47069702924246,-3.20418818462098,-4.38563099000054,-3.79690230628489,-4.17177638459716,-4.45299290130275,-4.07243097054777,-4.68202750422649,-4.46032877828978,-3.23329352708198,-4.86551481627407,-2.71052195474015,-4.77606901215783,-4.21178280963847,-4.11935243751504,-3.64210589407109,-3.3542512620891,-3.79472814660069,-4.64769404614219,-5.36939793515489,-4.83325307028308,-3.54464675728877,-4.358761669587,-4.07452376820402,-3.62489865573379,-3.59080449051749,-4.2359110558978,-4.2530709654211,-4.23590259414119,-4.7805157204346,-4.57903192512831,-3.66891738350977,-4.22715520339704,-3.91596483205537,-4.10234149661127,-4.24048029183827,-4.14672727577613,-4.17697069130422,-6.81607923337588,-3.35151288275573,-4.34041315625736,-3.81435055721479,-3.86262599910376,-3.89387397107724,-3.47215694815524,-4.15505882544295,-3.13879628748917,-3.24354978903995,-4.3368911817664,-3.38345723352675
"pericyte",-8.65015193061965,-9.85672081687857,-8.74602380961913,-8.5477447720793,-7.81926737690376,-6.31205976710962,-8.13352592561139,-8.26459910369725,-7.59950917492182,-7.15348558094302,-7.43865484237212,-8.08701414913849,-7.26960496586529,-9.45080925243532,-7.86734010797143,-7.18179736333942,-7.63707091068874,-7.76967662077984,-9.3341022576749,-6.12342122849753,-7.2744011205676,-6.36681702312835,-7.23177689920925,-7.22791412597214,-6.09057744150009,-7.5487662848749,-10.1634202787268,-6.66452556168965,-6.83035730847704,-8.4855077684299,-9.10760781333553,-6.82686015343712,-8.33801691887779,-5.8190780432197,-8.41667194449736,-6.0983224608236,-6.67331115918293,-4.80762841345596,-3.82633160721028,-6.0723912106451,-6.65471530435896,-7.88443706832526,-5.61647694342726,-6.60594089062557,-5.89472517660265,-8.62827648992341,-9.37377661117044,-6.00851919328393,-6.14207916690023,-4.09642461478703,-4.28647844921134,-7.03524214540922,-7.09349280233636,-7.84878652153319,-6.24833023589219,-7.21317484389772,-6.75497595560486,-9.26486551952435,-7.39531751134583,-5.69287478191917,-6.98658425507112,-7.31932691143762,-8.46374737614433,-9.63268296375977,-7.39428182471575,-4.4133074550911,-6.79237987386979,-7.2508598554821,-6.87927131519277,-8.2724617210484,-8.7640655696546,-6.54385620790175,-8.9060373699519,-8.79230748289839,-7.11041171510442,-7.31626738776313,-6.64529442563629,-10.4073906900921,-6.78642120275726,-8.11370288535645,-7.96942051097337,-7.31959525660303,-6.66721989283899,-5.66025532648477,-7.19681965073001,-7.06368681960558,-7.06390900669684,-7.38632442394201,-8.31876761108041,-9.33592451466595,-6.71427473436996,-7.58506900651179,-7.95392774354485,-6.97051022296024,-7.67164363576512,-7.18779867879103,-6.87273563776029,-6.41899294342294,-8.79716054067263,-6.35054002084642,-6.78684229764329
