MODULE	GENE
ad_down_filtered1_down_t2	ARIH1
ad_down_filtered1_down_t2	ARL15
ad_down_filtered1_down_t2	ATF2
ad_down_filtered1_down_t2	ATF7IP2
ad_down_filtered1_down_t2	ATXN7L1
ad_down_filtered1_down_t2	BACH1
ad_down_filtered1_down_t2	BCKDHB
ad_down_filtered1_down_t2	BICRAL
ad_down_filtered1_down_t2	BMPR1A
ad_down_filtered1_down_t2	BMPR2
ad_down_filtered1_down_t2	BTBD7
ad_down_filtered1_down_t2	BTBD9
ad_down_filtered1_down_t2	C12orf76
ad_down_filtered1_down_t2	C20orf194
ad_down_filtered1_down_t2	CAMKMT
ad_down_filtered1_down_t2	CCND3
ad_down_filtered1_down_t2	CD163
ad_down_filtered1_down_t2	CDC42SE2
ad_down_filtered1_down_t2	CHD6
ad_down_filtered1_down_t2	CHKA
ad_down_filtered1_down_t2	CMSS1
ad_down_filtered1_down_t2	CNTNAP2
ad_down_filtered1_down_t2	CORO1C
ad_down_filtered1_down_t2	CSNK1A1
ad_down_filtered1_down_t2	CTIF
ad_down_filtered1_down_t2	CUL4A
ad_down_filtered1_down_t2	DCAF7
ad_down_filtered1_down_t2	DENND1A
ad_down_filtered1_down_t2	DENND4C
ad_down_filtered1_down_t2	DEPTOR
ad_down_filtered1_down_t2	DIAPH2
ad_down_filtered1_down_t2	DIP2B
ad_down_filtered1_down_t2	DIRC3
ad_down_filtered1_down_t2	DLGAP2
ad_down_filtered1_down_t2	DMXL2
ad_down_filtered1_down_t2	DNM3
ad_down_filtered1_down_t2	DOCK2
ad_down_filtered1_down_t2	DOCK8
ad_down_filtered1_down_t2	DPYD
ad_down_filtered1_down_t2	DSCAM
ad_down_filtered1_down_t2	ELMO1
ad_down_filtered1_down_t2	ELMO1-AS1
ad_down_filtered1_down_t2	ELP3
ad_down_filtered1_down_t2	ENTPD1
ad_down_filtered1_down_t2	EPB41
ad_down_filtered1_down_t2	EPB41L2
ad_down_filtered1_down_t2	ERP44
ad_down_filtered1_down_t2	ETV6
ad_down_filtered1_down_t2	EXOC4
ad_down_filtered1_down_t2	EXT1
