"","AD_excitatory","bvFTD_excitatory","Control_excitatory","PSP-S_excitatory","AD_excitatory_rank","bvFTD_excitatory_rank","Control_excitatory_rank","PSP-S_excitatory_rank"
"ZBTB7A (10g)",0.239611861009276,0.280660340958537,0.259463259356001,0.252824186662062,68,63,62,68
"USF2_extended (181g)",0.377486790000341,0.362905392908452,0.360438042790699,0.390346336134637,33,29,4,30
"BHLHE40_extended (763g)",0.394129309269298,0.375194437242915,0.355945202614907,0.400800539258941,25,6,6,20
"MAX (59g)",0.21573287618214,0.2321826176918,0.236269087399075,0.228735537785927,78,81,71,78
"SMARCB1_extended (16g)",0.188924761189159,0.20066944412074,0.204182459389779,0.197746388170427,91,90,86,88
"RXRA_extended (15g)",0.185194328451833,0.197041795068719,0.19471464006853,0.196412554808807,93,92,93,91
"FOSL2_extended (37g)",0.210455065747137,0.243734945371116,0.231021103910771,0.241240308440127,81,74,74,73
"BCL6_extended (17g)",0.21803255660076,0.24177010204784,0.214855364273898,0.225207591664381,77,76,80,80
"SRF_extended (17g)",0.204834417004497,0.216102551622067,0.201512860972371,0.205826788529785,84,83,88,85
"KDM5B (56g)",0.321020822003855,0.310640204085927,0.29979836536902,0.307046329463693,51,52,49,56
"HKR1_extended (18g)",0.191327818613097,0.199524686374365,0.198576938125892,0.192492900045435,88,91,90,92
"NR1H3_extended (13g)",0.183756116163204,0.191111362793337,0.19079534112265,0.190490595846295,94,94,95,93
"SCRT1_extended (14g)",0.182626487816673,0.187106827055413,0.193786906927911,0.182235275809029,95,95,94,98
"TFDP1 (10g)",0.179726901053377,0.181241298092441,0.183231359706547,0.182781325487796,97,98,97,97
"E2F4_extended (20g)",0.232994681570511,0.24361368201163,0.211002861387054,0.226401019671243,73,75,82,79
"RXRB_extended (13g)",0.207465321279256,0.211427054763685,0.2073402706574,0.217292596801558,82,86,84,82
"POLR2A (52g)",0.238630656781433,0.269688117494376,0.244287370667318,0.260982824338118,70,66,66,66
"CEBPG (27g)",0.197466794957561,0.216183904872231,0.209940260704352,0.209072205638983,86,82,83,84
"POLR3A (42g)",0.197386191227363,0.213506803924995,0.215302540633043,0.205575388101862,87,84,79,86
"NR2C1_extended (53g)",0.214831365989167,0.23773934534139,0.241282655248437,0.224612429901222,79,78,68,81
"EP300_extended (57g)",0.238700693675359,0.268261964585058,0.259183312359011,0.251766698864096,69,68,63,70
"SUZ12_extended (461g)",0.295329358402107,0.329161368500934,0.332112891521698,0.31256780237431,57,47,37,54
"GABPA (27g)",0.189722159678655,0.204979469722863,0.20467823425157,0.197568697090602,90,88,85,89
"MEF2D (31g)",0.21907521282804,0.236054077349112,0.235211361954865,0.232940055549895,76,80,72,75
"KLF13 (10g)",0.186582779629075,0.193413407863253,0.197020373626267,0.189567169758833,92,93,92,94
"ZFX_extended (11g)",0.180141163357947,0.186757891243015,0.187418005719696,0.185085982426989,96,96,96,95
"CNOT3_extended (19g)",0.190462259884959,0.200950986098524,0.201313322291233,0.196977528642662,89,89,89,90
"MAZ (38g)",0.210793404096403,0.237604825619344,0.222736901408939,0.230056929158323,80,79,77,77
