"","AD_astrocyte","bvFTD_astrocyte","Control_astrocyte","PSP-S_astrocyte","AD_astrocyte_rank","bvFTD_astrocyte_rank","Control_astrocyte_rank","PSP-S_astrocyte_rank"
"TAF1 (1523g)",0.40477176884415,0.36499715273432,0.418538617486255,0.334933461730889,22,22,17,27
"KDM5A_extended (2734g)",0.407649716068866,0.367960408670632,0.412981002547535,0.338637318814223,10,9,34,11
"SMARCA4_extended (1987g)",0.405892996474546,0.365965689818166,0.418334474331206,0.335731628989113,17,20,18,24
"SREBF2 (47g)",0.303526075088764,0.266049603632986,0.314325218162335,0.263543861139322,104,111,89,99
"MXI1_extended (2827g)",0.407963909483734,0.367654077905484,0.414870361200436,0.336914345620746,8,12,27,19
"TCF4_extended (221g)",0.404718220223247,0.371443629740085,0.396706037820283,0.339898166724652,23,1,48,7
"BRF1_extended (1489g)",0.406198497606544,0.36671040685775,0.413829035067615,0.340026095756377,16,18,32,6
"ZBTB7A_extended (1245g)",0.404885486207154,0.364899190367143,0.417878537200565,0.337321723815646,21,23,19,16
"TEF (895g)",0.405263175464104,0.368000966983935,0.410890685765086,0.338463625622131,19,8,38,12
"PHF8_extended (2101g)",0.406592183684138,0.367743117875754,0.415345734981731,0.336940796799647,14,10,25,18
"HLF (1152g)",0.403285672835365,0.365194417744159,0.412901282308523,0.338949396457485,25,21,35,9
"RAD21_extended (1938g)",0.406532870934587,0.367217227654834,0.413278887915002,0.338939694514188,15,14,33,10
"HDAC2_extended (1464g)",0.40793941428397,0.367657374475079,0.412510308715681,0.337801498173076,9,11,36,15
"CUX2 (44g)",0.303953619413964,0.319401857423397,0.305580677958838,0.341655176072877,103,74,95,3
"ZMAT4 (113g)",0.33633786287219,0.34338534777674,0.331975007017169,0.351602755098826,85,51,78,1
"CUX1 (36g)",0.308166762788189,0.317715080511528,0.302190375602291,0.337110503976352,99,77,100,17
"NR3C1 (1231g)",0.402020847830389,0.368984342773645,0.401143605999643,0.349177180025063,26,5,45,2
"SMC3_extended (13g)",0.284799362863315,0.275018698457973,0.267339057558415,0.298173088259565,109,102,114,68
"RORB_extended (40g)",0.359207755478635,0.328792714142171,0.364256546112425,0.335804573076464,66,66,68,22
"FOXP1 (17g)",0.344981173643153,0.341170509156408,0.345385429803357,0.341134738487561,77,54,74,4
"NFATC4 (27g)",0.343043900990639,0.289297954009244,0.327440684811125,0.269733626919958,79,94,80,95
"RXRA (11g)",0.36242601889908,0.269233360440143,0.324500422657807,0.250457171998832,64,107,82,113
"USF2_extended (77g)",0.401563425725262,0.32503698650739,0.384172187888727,0.292768132444759,28,69,58,79
"SP4 (26g)",0.400600712484878,0.310847283618371,0.371799824927024,0.273010449661193,29,81,64,93
"CEBPZ (12g)",0.268885217869059,0.305845708367454,0.258972425585204,0.262100718111285,117,86,119,104
"BHLHE41_extended (41g)",0.314150230637564,0.345244057638353,0.286258492959412,0.279218639643588,95,46,108,88
