"","AD_astrocyte","bvFTD_astrocyte","Control_astrocyte","PSP-S_astrocyte","AD_astrocyte_rank","bvFTD_astrocyte_rank","Control_astrocyte_rank","PSP-S_astrocyte_rank"
"JDP2_extended (460g)",0.39113140225376,0.347667502999803,0.393738977588354,0.391135378321587,8,43,43,6
"POU2F1 (27g)",0.364947700818001,0.350963936060981,0.404317963675342,0.380574601844518,63,34,10,42
"RBFOX2 (15g)",0.36810370644405,0.351733242338344,0.413328556097127,0.371164787083022,59,30,6,55
"NFAT5_extended (16g)",0.379677943523383,0.357319360973293,0.396562188474625,0.382918042847322,40,3,36,38
"RORA (23g)",0.368705433510819,0.352795018575388,0.400271455966278,0.387072361017018,56,25,22,19
"SOX5 (12g)",0.36734534767432,0.359478302408998,0.399820519762428,0.380034893243917,61,1,24,43
"FOXO3 (227g)",0.375801108605438,0.350641926619745,0.408430804528952,0.380583090421839,46,36,7,41
"FOXO1 (63g)",0.379211192438166,0.344272714833378,0.405480699780768,0.377374246665588,41,51,8,47
"SOX12_extended (44g)",0.370135208193203,0.358060656218118,0.386701877502227,0.380745601160453,51,2,51,40
"FOXN3 (48g)",0.37266564754265,0.350792562613633,0.389484047113412,0.384382721423278,50,35,47,36
"HIVEP2 (18g)",0.331926298666241,0.343128030138794,0.388608966815039,0.326402864289776,92,53,48,92
"PKNOX2 (13g)",0.362757237963542,0.340109535891879,0.414211646079032,0.345744552201542,67,55,5,84
"STAT1 (70g)",0.363618245363182,0.345690721858139,0.423269466610188,0.354071155192048,66,48,2,75
"ETV6_extended (232g)",0.369027425781856,0.349084652571993,0.420750599552366,0.355133229043375,54,38,3,74
"PML_extended (82g)",0.357262441638194,0.344917911340719,0.427167046316568,0.353118654684792,71,50,1,77
"CEBPD_extended (25g)",0.347411189924736,0.282006572830344,0.366164062301171,0.31123786819602,80,107,69,106
"TCF7L2 (18g)",0.342140747415146,0.337429216409732,0.419120152114708,0.348031375004458,86,57,4,83
"TEAD1_extended (12g)",0.369438178878374,0.346603917557927,0.402660260769181,0.372267512367495,52,47,12,52
"TCF7L1_extended (12g)",0.315642656661381,0.280761849183527,0.329427317970282,0.292545916465461,106,108,88,118
"RFX4_extended (20g)",0.354307074082634,0.288564371123412,0.369933357088162,0.322200308262368,74,101,68,97
"PAX6_extended (12g)",0.326488020305395,0.302019900009624,0.39727399672608,0.309245244387599,101,92,32,107
"TMEM33_extended (17g)",0.328244245581395,0.314896037372924,0.301962047212235,0.331149229997659,96,84,107,91
"HNF4G_extended (15g)",0.331808429808066,0.322964240668199,0.325998427619233,0.315565067666488,93,79,91,102
"SUPT20H_extended (16g)",0.272566498133806,0.254811963969204,0.279028470286496,0.259723191084538,128,123,124,136
"BCLAF1_extended (18g)",0.25314462398308,0.2312667146006,0.273631909203631,0.236256398049714,138,143,127,147
"CHD1 (89g)",0.364941260759791,0.343958044222122,0.392430883272007,0.352887937495091,64,52,44,78
"NFKB1_extended (11g)",0.24196176084329,0.224703096208991,0.253287181575336,0.225540251656022,143,145,138,148
"IRF2 (100g)",0.35331590980969,0.340359334676789,0.397168820657897,0.361555066665606,76,54,34,68
"BRCA1 (12g)",0.275580527821609,0.261785111281649,0.327323307948484,0.281146872692235,125,119,90,124
"PBX1 (20g)",0.364025632853471,0.335732680768699,0.361970628586415,0.375192057726026,65,66,76,51
"RFX3 (113g)",0.385267676388392,0.34813241879,0.39499482157787,0.375451213716594,32,40,41,49
"DDIT3 (17g)",0.332273926206128,0.283383884859895,0.304877254016214,0.296465387986475,91,105,102,114
"STAT3 (49g)",0.380206353822442,0.31257367154685,0.364643362420568,0.326131768232138,39,87,71,93
"JUNB (33g)",0.376439792621995,0.291059921529567,0.356059578585645,0.322923659751353,45,100,79,96
"BHLHE40 (15g)",0.362545241945101,0.292793099039117,0.291493102348096,0.356707399498217,68,99,116,73
"BCL6_extended (128g)",0.391458846998796,0.323866148102559,0.385955315337751,0.351274252198217,7,77,54,80
"FOSL2_extended (67g)",0.346552589970505,0.28573008091404,0.374810394128534,0.30641801429214,81,104,64,110
"FOS (164g)",0.403661350791032,0.336869626782359,0.371119384254423,0.371082774934363,1,59,66,56
"JUN (244g)",0.393562997904663,0.345472679157155,0.379266282287187,0.379526824724655,4,49,60,44
"EP300 (20g)",0.288419738953917,0.249943466367702,0.284648411619324,0.290969684002775,116,126,120,119
"NKX2-2_extended (11g)",0.285356300112561,0.299782177736385,0.311650354615782,0.292888015861814,120,93,99,117
"ETV5_extended (15g)",0.278671485202498,0.273195632417237,0.279388877324492,0.309181305139964,123,113,123,108
"ESRRG_extended (12g)",0.269472333061797,0.263739730525899,0.278240260152832,0.286591947773336,131,117,125,121
"HEY2 (32g)",0.305362194213077,0.2743865520037,0.290160303603083,0.294873392308329,110,111,117,115
"KLF3 (19g)",0.275989122359176,0.244137768419541,0.28440956481343,0.290691978915239,124,131,121,120
"CREB3L2_extended (29g)",0.30216774032898,0.260368254402163,0.294779341117818,0.286013647052303,111,120,114,122
"HDAC2_extended (56g)",0.306578901954107,0.262623653394034,0.287033529168267,0.315389102378854,109,118,118,103
"ESR2_extended (37g)",0.295743379778316,0.25989188971595,0.29908060271587,0.319538548497994,112,121,110,99
"KLF9_extended (32g)",0.271384319850535,0.244743227524488,0.267749015728021,0.261576283782552,129,130,129,134
"GTF2B_extended (12g)",0.263202167425467,0.238061488986589,0.262635368516959,0.243610998864558,135,137,133,143
"MTA3_extended (23g)",0.291365616060233,0.27367557853101,0.294850214877265,0.300512111991747,114,112,113,113
"ZNF780B (12g)",0.242552201509835,0.223270121931654,0.238729514884784,0.241963195291592,142,147,144,144
"REST_extended (17g)",0.267730619345343,0.235006262139223,0.266581203805606,0.259097052714732,132,140,130,137
"E2F3_extended (12g)",0.236657891611686,0.233886561016956,0.242980286791189,0.257724250675382,147,142,141,138
"SP3_extended (24g)",0.26721585567631,0.243506883089224,0.26570096271314,0.277161296083045,133,134,132,128
"NFE2L2_extended (21g)",0.273030653669781,0.23939935941693,0.271223220914466,0.262343326831134,127,136,128,133
"EMX2_extended (12g)",0.286138098079787,0.243927109946983,0.2830448858391,0.285423669740813,119,132,122,123
"RXRA (24g)",0.330847424113666,0.277348401309441,0.294369722375136,0.358103583329624,94,109,115,70
"MZF1 (29g)",0.273238685828916,0.236875578396201,0.311433003969651,0.304373083664608,126,139,100,111
"MAX_extended (131g)",0.368270168401312,0.304790492089951,0.348236528029123,0.35823328862856,58,90,84,69
"NFIC_extended (60g)",0.328595679570234,0.267045740583775,0.29587070271407,0.342756641931476,95,115,112,86
"E2F4_extended (20g)",0.25355489028741,0.256827815048979,0.250525044799089,0.280370174768962,137,122,140,126
"SOX8_extended (18g)",0.286378550688053,0.252295573464841,0.261908672024877,0.303009577523641,117,124,134,112
"BHLHE41 (66g)",0.333164630775951,0.29885450288451,0.301813871615012,0.336981026930314,90,95,108,88
"ZNF76_extended (988g)",0.396132163668006,0.346990317990539,0.390369097416679,0.391042160269806,2,44,45,8
"ZFP64_extended (31g)",0.338395955608142,0.292947027336332,0.375719286811135,0.31508794300093,87,98,62,104
"NFE2L1_extended (348g)",0.381563329371904,0.349384043065152,0.387427406055878,0.383019148666869,36,37,50,37
"THRA (86g)",0.377882790689287,0.32555685102653,0.351761027902232,0.362697911993963,43,76,81,66
"CREBL2_extended (41g)",0.335014988399966,0.333798947913275,0.322948598737871,0.334211833807957,89,67,94,90
"SMAD5 (23g)",0.280192427871641,0.23776737070748,0.252017750217577,0.265617780780543,122,138,139,132
