"","AD_oligodendrocyte","bvFTD_oligodendrocyte","Control_oligodendrocyte","PSP-S_oligodendrocyte","AD_oligodendrocyte_rank","bvFTD_oligodendrocyte_rank","Control_oligodendrocyte_rank","PSP-S_oligodendrocyte_rank"
"XRCC4_extended (1080g)",0.399550267815421,0.353690252727854,0.396726693782033,0.376864274931005,27,8,8,31
"FOXP1 (95g)",0.398235409592073,0.355331622273436,0.390239211041506,0.373944042996074,31,5,27,37
"TCF4 (13g)",0.386956740965704,0.358832752804285,0.391156428263127,0.372548943103746,45,2,25,39
"TBL1XR1_extended (26g)",0.390107537519993,0.352860556965892,0.394536621202335,0.374546051297599,41,12,12,36
"TCF12_extended (14g)",0.391227827027596,0.351683133323961,0.399548996062145,0.376161585852237,38,24,4,32
"NR2C2 (23g)",0.325922923830631,0.291741274029757,0.315424007151808,0.315311677486559,78,71,75,80
"RB1_extended (15g)",0.314901008789706,0.301212978038319,0.310270846959985,0.315173981889879,83,68,79,81
"POU2F1 (26g)",0.349443153326608,0.307049695533801,0.346438209231347,0.329514665037475,68,67,66,70
"NFIX (13g)",0.302538222521055,0.264353966508421,0.295021219456227,0.286823866846692,90,93,87,87
"CREM (13g)",0.320739506578129,0.28904039656248,0.312247243768431,0.323777225907644,81,73,78,76
"RFX3 (17g)",0.305061919066,0.27627299390787,0.298584824246432,0.291716710284564,85,83,82,86
"CLOCK (25g)",0.350550956061751,0.287650215334673,0.296223793987646,0.327389609138417,65,75,84,71
"MEIS2 (25g)",0.387037510462643,0.360503415555908,0.383824286959298,0.359181070575871,44,1,41,51
"NRF1_extended (111g)",0.398382910517496,0.346633655226518,0.389111570072507,0.368662726746526,30,40,29,43
"SOX2_extended (21g)",0.37038586702589,0.316343603772376,0.37378413300225,0.334977577564345,59,63,49,67
"GABPB1_extended (54g)",0.391465200347765,0.341307757140781,0.363366380540091,0.366720624026421,37,46,59,47
"ELF2_extended (40g)",0.377015612828998,0.331700051302184,0.343388644742038,0.336105500365626,55,54,67,65
