"","AD_microglia","bvFTD_microglia","Control_microglia","PSP-S_microglia","AD_microglia_rank","bvFTD_microglia_rank","Control_microglia_rank","PSP-S_microglia_rank"
"CREM (40g)",0.366702821433996,0.325511682202168,0.323789851200034,0.347568288644605,114,121,105,114
"JDP2 (84g)",0.387472819931196,0.33433804994077,0.349302584654413,0.363277289859369,101,113,51,102
"NFIL3 (11g)",0.360357494166072,0.324063185571562,0.297355375483168,0.333067363274403,116,122,129,125
"ESRRB_extended (10g)",0.288706347452135,0.251459464799952,0.288893480968085,0.276627559297777,152,165,136,159
"ELF4 (24g)",0.294350089917674,0.26534674146597,0.266099656944927,0.287754089015513,149,158,154,152
"STAT5B (25g)",0.327300107418799,0.318240517929184,0.345155101477933,0.301572123128955,130,127,70,142
"JUNB (14g)",0.324108289350113,0.292950263346785,0.34492205015399,0.288351010614055,133,140,71,151
"KLF6_extended (172g)",0.409172576978569,0.377005444072838,0.343106501578242,0.378584173691689,70,7,76,86
"MAFB_extended (126g)",0.410497656516445,0.36730576399119,0.357415152726736,0.353837681021565,62,81,16,108
"FOS (49g)",0.341711052287819,0.32325240043766,0.312881418209417,0.354763056812722,126,124,114,107
"GTF3C2 (18g)",0.337243994106304,0.312067212885381,0.306968859430572,0.330201996866094,128,130,117,128
"MIOS_extended (24g)",0.300079107958861,0.288624993184021,0.309317392706476,0.283542793005324,146,145,115,154
"ATF1 (51g)",0.325713323632497,0.305318037398775,0.313070161287586,0.31798928401297,132,133,113,134
"POLR3A (61g)",0.310040363895848,0.293052356565599,0.298176134334647,0.308020578715394,137,139,127,138
"DEAF1 (23g)",0.281714213458624,0.262903818601522,0.269197973559099,0.322942232620668,157,160,151,133
"SOX5_extended (48g)",0.326894448934518,0.300575067027896,0.3083263807189,0.335779362359386,131,135,116,123
"KAT2A_extended (45g)",0.306152526285903,0.284779228806018,0.273600437765926,0.302515641953047,141,147,147,140
"CHD2_extended (154g)",0.393912267365813,0.361220722159612,0.36175667313056,0.375835945850022,97,92,10,91
