"","AD_microglia","bvFTD_microglia","Control_microglia","PSP-S_microglia","AD_microglia_rank","bvFTD_microglia_rank","Control_microglia_rank","PSP-S_microglia_rank"
"XRCC4_extended (1287g)",0.405213350069592,0.368975139085605,0.391208537905623,0.35664608679942,2,14,10,18
"RREB1_extended (139g)",0.401774666515806,0.365565711141677,0.379679111273277,0.36090839841567,10,19,31,9
"CTCF (10g)",0.313953415455296,0.31543621589685,0.313620372890925,0.301126140093787,100,75,92,83
"HDAC2 (627g)",0.399705969956032,0.373524862537669,0.38226239276811,0.363054122711023,16,4,29,2
"ZEB1_extended (464g)",0.398061188495475,0.370910091797952,0.392572208828139,0.355331879704829,18,7,9,19
"USF2_extended (421g)",0.399042882426845,0.370289306738977,0.389245618513403,0.359631523641707,17,10,14,13
"IRF2 (63g)",0.384690630464676,0.353410214045879,0.384521094853533,0.342507945455582,35,32,26,28
"SOX5_extended (52g)",0.387432223476302,0.34006966679969,0.388474650303191,0.335298968593627,32,43,17,32
"STAT2 (44g)",0.390715203199461,0.324087430458715,0.398111021947165,0.31295066283213,26,64,5,66
"PPARD (40g)",0.369124628600718,0.357280540933448,0.374340948766837,0.33320606747124,51,29,39,34
"FOXK1_extended (26g)",0.379037159155803,0.32442011160841,0.328780552025987,0.315825267279735,41,63,81,62
"RUNX1 (14g)",0.34525413348571,0.326078130753439,0.363497632370317,0.275444762787019,76,59,50,106
"E2F3 (29g)",0.344656437867423,0.323301666269304,0.395004707732352,0.296747770051647,77,65,8,87
"RUNX2 (46g)",0.381559734557654,0.342601397305403,0.357866091166126,0.289726627284648,38,40,54,93
"CHD1 (12g)",0.362637119415137,0.325765700781411,0.345367833977335,0.30340937536502,60,60,66,79
"ETV6 (11g)",0.358444642920158,0.333114503063911,0.371374209058232,0.313976041347999,63,53,41,65
"BCLAF1_extended (249g)",0.394537649634221,0.357743890513869,0.403879739222091,0.326804126754225,23,27,2,48
"IRF8 (68g)",0.391356172547621,0.377689595883997,0.378326807218425,0.352342450314278,24,1,32,22
"MAX_extended (135g)",0.373055513959257,0.351961592982301,0.414273901517023,0.328532020163291,46,33,1,41
"JUNB_extended (44g)",0.349718831859176,0.313535209673609,0.399430810237886,0.2755510996379,71,77,3,105
"BACH1 (15g)",0.370273252551354,0.315834100751189,0.389650193541457,0.282991829842373,48,74,13,99
"ETV5 (75g)",0.365974265551071,0.338794527833376,0.367028529765223,0.315971036115739,57,47,45,60
"XBP1 (48g)",0.347120335265563,0.317597953060469,0.351450846131703,0.281205898419734,74,73,62,101
"FOXP2 (28g)",0.389682992302288,0.342358032681449,0.36524921321315,0.352620042181782,27,41,47,21
"ATF6_extended (94g)",0.390811099865377,0.343234632501263,0.391147621556917,0.340440649144244,25,38,11,30
"ELF2 (83g)",0.38226030366291,0.339174405705271,0.373946995039621,0.328571430290669,37,45,40,40
"RB1_extended (24g)",0.34451004575282,0.359351031597456,0.361738812429917,0.286884370137428,78,26,52,95
"CCNT2_extended (46g)",0.371752271349137,0.35746796086468,0.323678769885243,0.322526437663953,47,28,86,52
"MEF2A_extended (17g)",0.36998798381549,0.335407652977438,0.364341281359609,0.327808430057903,49,51,49,44
"REL (70g)",0.368681598049393,0.364320130658323,0.358725220006487,0.344526834917528,52,21,53,26
"FLI1 (35g)",0.375160018773207,0.337186519516516,0.377277276408512,0.346923581759189,44,48,34,25
"KLF3 (15g)",0.234288126026525,0.255859909957738,0.257355743241672,0.277283982029785,127,119,122,103
"ZNF254 (20g)",0.289486058495537,0.252815201510466,0.285228068905577,0.275380091000609,115,122,111,107
"ARNT (45g)",0.383860592558933,0.351097824383818,0.339802025268453,0.30786435469389,36,34,71,73
"ARID3A (32g)",0.343205618611449,0.323289564981172,0.355099132585289,0.305054869232887,80,66,56,76
"CREB3L2_extended (25g)",0.308911027981291,0.265621501728329,0.354723007348406,0.304473834242405,103,112,58,77
"PSMD12_extended (14g)",0.319874358445511,0.274191872265658,0.30132580061997,0.328030245071724,94,106,100,43
"STAT6 (12g)",0.348139147350098,0.290088005954837,0.280598314653228,0.27121589030717,72,92,115,111
"BHLHE41_extended (33g)",0.388533054615502,0.339683400350908,0.354288415765007,0.33010960634226,30,44,59,38
