ct_subcluster,ext_module,ora
preCG-excitatory-0,Ex0,192.708469000535
preCG-excitatory-0,Ex1,2.94043870000149
preCG-excitatory-0,Ex11,4.60289653596744
preCG-excitatory-0,Ex12,10.0093010821199
preCG-excitatory-0,Ex14,4.62448199533055
preCG-excitatory-0,Ex2,489.093867888044
preCG-excitatory-0,Ex3,10.6018192326545
preCG-excitatory-0,Ex4,12.6395328922922
preCG-excitatory-0,Ex5,2.6709434792154
preCG-excitatory-0,Ex6,1.71392131929654
preCG-excitatory-0,Ex7,2.02471534074215
preCG-excitatory-0,Ex8,1.67094631285668
preCG-excitatory-0,Ex9,8.48074141872929
preCG-excitatory-1,Ex0,14.361647526835
preCG-excitatory-1,Ex1,10.9446594704226
preCG-excitatory-1,Ex11,31.226478425534
preCG-excitatory-1,Ex12,23.9083437794015
preCG-excitatory-1,Ex14,8.11865041569971
preCG-excitatory-1,Ex2,31.5625493830503
preCG-excitatory-1,Ex3,152.18634712312
preCG-excitatory-1,Ex4,0
preCG-excitatory-1,Ex5,11.8404644569426
preCG-excitatory-1,Ex6,0
preCG-excitatory-1,Ex7,5.33543253221955
preCG-excitatory-1,Ex8,3.43126722884071
preCG-excitatory-1,Ex9,14.5857363858825
preCG-excitatory-14,Ex0,16.9111591317657
preCG-excitatory-14,Ex1,7.3360533245186
preCG-excitatory-14,Ex11,4.65638459279708
preCG-excitatory-14,Ex12,10.1241104787882
preCG-excitatory-14,Ex14,12.9129610086323
preCG-excitatory-14,Ex2,346.373553860275
preCG-excitatory-14,Ex3,7.41952201751895
preCG-excitatory-14,Ex4,14.429614814732
preCG-excitatory-14,Ex5,20.8687249391302
preCG-excitatory-14,Ex6,0.668999528049613
preCG-excitatory-14,Ex7,36.5302855491358
preCG-excitatory-14,Ex8,1.68805854660892
preCG-excitatory-14,Ex9,3.60883876384027
preCG-excitatory-18,Ex0,12.9840954268013
preCG-excitatory-18,Ex1,20.4551746211779
preCG-excitatory-18,Ex11,5.58000376564229
preCG-excitatory-18,Ex12,40.610642762971
preCG-excitatory-18,Ex14,155.866252057236
preCG-excitatory-18,Ex2,83.926386199726
preCG-excitatory-18,Ex3,12.3130897616267
preCG-excitatory-18,Ex4,1.24510442567797
preCG-excitatory-18,Ex5,18.7318443640479
preCG-excitatory-18,Ex6,0.327331440098615
preCG-excitatory-18,Ex7,15.4348177421422
preCG-excitatory-18,Ex8,1.67094631285668
preCG-excitatory-18,Ex9,22.7977824094446
preCG-excitatory-3,Ex0,31.8388214389414
preCG-excitatory-3,Ex1,5.03804238700385
preCG-excitatory-3,Ex11,5.58000376564229
preCG-excitatory-3,Ex12,7.9614866096756
preCG-excitatory-3,Ex14,12.7439591493398
preCG-excitatory-3,Ex2,38.6818404809127
preCG-excitatory-3,Ex3,15.8957722663218
preCG-excitatory-3,Ex4,9.53317151411778
preCG-excitatory-3,Ex5,2.6709434792154
preCG-excitatory-3,Ex6,2.0810239258582
preCG-excitatory-3,Ex7,6.42467174111597
preCG-excitatory-3,Ex8,7.01885966281728
preCG-excitatory-3,Ex9,7.72395797637747
preCG-excitatory-4,Ex0,0.845734637856418
preCG-excitatory-4,Ex1,60.2478136174488
preCG-excitatory-4,Ex11,3.6729443164424
preCG-excitatory-4,Ex12,29.7521763312497
preCG-excitatory-4,Ex14,16.3666796909486
preCG-excitatory-4,Ex2,217.173249515973
preCG-excitatory-4,Ex3,10.6018192326545
preCG-excitatory-4,Ex4,1.24510442567797
preCG-excitatory-4,Ex5,22.5800458968553
preCG-excitatory-4,Ex6,0
preCG-excitatory-4,Ex7,16.8767611665224
preCG-excitatory-4,Ex8,1.67094631285668
preCG-excitatory-4,Ex9,14.4032274257526
preCG-excitatory-5,Ex0,16.9111591317657
preCG-excitatory-5,Ex1,9.70932523383246
preCG-excitatory-5,Ex11,5.14448245751656
preCG-excitatory-5,Ex12,13.4562389802019
preCG-excitatory-5,Ex14,12.052610362367
preCG-excitatory-5,Ex2,346.373553860275
preCG-excitatory-5,Ex3,9.04403171702392
