"","Ex0","Ex1","Ex11","Ex12","Ex14","Ex2","Ex3","Ex4","Ex5","Ex6","Ex7","Ex8","Ex9"
"preCG-excitatory-0",192.708469000535,2.94043870000149,4.60289653596744,10.0093010821199,4.62448199533055,489.093867888044,10.6018192326545,12.6395328922922,2.6709434792154,1.71392131929654,2.02471534074215,1.67094631285668,8.48074141872929
"preCG-excitatory-1",14.361647526835,10.9446594704226,31.226478425534,23.9083437794015,8.11865041569971,31.5625493830503,152.18634712312,0,11.8404644569426,0,5.33543253221955,3.43126722884071,14.5857363858825
"preCG-excitatory-14",16.9111591317657,7.3360533245186,4.65638459279708,10.1241104787882,12.9129610086323,346.373553860275,7.41952201751895,14.429614814732,20.8687249391302,0.668999528049613,36.5302855491358,1.68805854660892,3.60883876384027
"preCG-excitatory-18",12.9840954268013,20.4551746211779,5.58000376564229,40.610642762971,155.866252057236,83.926386199726,12.3130897616267,1.24510442567797,18.7318443640479,0.327331440098615,15.4348177421422,1.67094631285668,22.7977824094446
"preCG-excitatory-3",31.8388214389414,5.03804238700385,5.58000376564229,7.9614866096756,12.7439591493398,38.6818404809127,15.8957722663218,9.53317151411778,2.6709434792154,2.0810239258582,6.42467174111597,7.01885966281728,7.72395797637747
"preCG-excitatory-4",0.845734637856418,60.2478136174488,3.6729443164424,29.7521763312497,16.3666796909486,217.173249515973,10.6018192326545,1.24510442567797,22.5800458968553,0,16.8767611665224,1.67094631285668,14.4032274257526
"preCG-excitatory-5",16.9111591317657,9.70932523383246,5.14448245751656,13.4562389802019,12.052610362367,346.373553860275,9.04403171702392,8.13328316527742,15.2825819490347,0.668999528049613,32.4734032611279,0,7.81286887838815
"preCG-excitatory-6",14.361647526835,34.7515319989632,3.71463294683535,151.869186718652,25.3803261646277,55.7110575836978,19.9386955594724,1.25785435259095,10.1979778273046,0.330683706855216,7.68699192622104,0,110.689509158831
"preCG-excitatory-7",0,42.6106778167442,3.6729443164424,23.6011041829285,17.3367743795533,217.173249515973,12.3130897616267,0,28.850603829541,0,19.8944860988695,1.67094631285668,12.5848263093997
"preCG-excitatory-9",183.809318413201,0.953805821124431,3.22516694222668,8.97220204147206,5.93200413198064,373.544630263916,15.8957722663218,15.9428258471773,1.3158172014519,1.71392131929654,3.07936937581281,5.17835239136947,8.48074141872929
