"","Mic0","Mic1","Mic2"
"preCG-microglia-0",308.785633581267,19.2507009344618,0
"preCG-microglia-1",467.786676322471,8.46401446055639,16.2428104877611
"preCG-microglia-3",124.968605453141,69.3708522887873,0
"preCG-microglia-4",0,101.334121000009,16.119930899256
"preCG-microglia-7",71.387489726577,0,0
"insula-microglia-0",76.2209483753412,38.7315753529236,2.11641798904615
"insula-microglia-1",460.682201657912,7.16325024167428,6.51810608217496
"insula-microglia-11",2.49575998097396,33.1923661453952,16.3937135633626
"insula-microglia-2",1089.82541179231,0,4.31080307221063
"insula-microglia-3",13.6650032016705,7.2371810178435,8.94683260198161
"insula-microglia-4",654.753969567078,0,8.85318932106066
"insula-microglia-5",5.09149793795223,38.3113180216901,11.2746363819863
"insula-microglia-6",52.4370293538228,38.0198682147662,5.06978963139704
"insula-microglia-7",19.4665749054748,73.2726237678301,13.2248915633857
"insula-microglia-9",0,0,3.34974824709358
"calcarine-microglia-0",386.515139852363,0,0
"calcarine-microglia-2",0,41.391109578988,0
"calcarine-microglia-3",0,221.733557907998,33.5308365769443
