"","In0","In1","In10","In11","In2","In3","In4","In5","In6","In7","In8","In9"
"insula-inhibitory-0",3.09131537012552,5.5214639672204,3.30563788091848,3.41405005920785,4.65420020854357,5.46458913567155,3.17767842169659,2.35636835531778,4.21911470659084,4.1166135148464,2.32725053352864,5.16230818388804
"insula-inhibitory-1",1.36685099957707,1.49228023715819,9.51133121176215,2.14878535973309,4.65420020854357,9.40621092879303,4.89185721817266,106.719749576279,5.21768674356194,1.35072650814145,52.3706855949331,6.46531767394852
"insula-inhibitory-10",23.5623174581834,1.82708190023329,1.17039357020105,2.14878535973309,3.26593232154251,0.557585882919007,3.72240574640469,1.8972431546663,2.45904054857596,12.4155046516399,2.11217230172585,21.9265073360389
"insula-inhibitory-11",3.12868470762205,0.278915243536044,1.18309169680398,2.41316963910798,1.31917132741761,0.563516013018747,0.398161777989596,0.165449938230524,0,1.98737537014701,0.968073361749031,0.461211537372357
"insula-inhibitory-2",36.5991696151001,0.562746016813674,1.49228023715819,3.41405005920785,6.80513204692038,0.557585882919007,4.89185721817266,1.8972431546663,1.68332642099603,23.0721326474053,1.70260097471075,11.4503841727905
"insula-inhibitory-3",0.954311870740071,70.0408994589037,4.18724971635682,1.71839196982587,5.21970815072425,7.67096377729777,5.58433036651983,0.882362315546199,57.8138502628014,0.788723067308069,1.72229624348015,2.36136643775098
"insula-inhibitory-4",0.954311870740071,13.3909134332115,24.1228011901111,3.45629192088724,6.30898594148303,82.2166448838242,6.25286512127171,9.37085982610084,21.2915754398362,1.98737537014701,3.55912505436787,2.99935429005064
"insula-inhibitory-5",3.09131537012552,2.17518168686143,4.58065621173817,22.6367577727577,204.372587325055,2.51245923218024,54.5918499416761,2.35636835531778,3.75112283073379,7.35972417217634,2.11217230172585,1.74904909856385
"insula-inhibitory-6",3.96707465633503,5.04147609465886,2.53692058352372,2.88214358067331,4.1719610809971,5.46458913567155,2.16285585670524,1.67876247422121,3.75112283073379,4.52595100612579,1.50737874905677,5.57967660298728
"insula-inhibitory-7",1.36685099957707,36.9928371361971,3.30563788091848,1.92016748520379,4.1719610809971,7.57405700717328,6.17993506141249,2.59745181104871,39.9618949000903,0.780339878607546,3.01595689885426,2.33457488822571
"insula-inhibitory-9",2.58630539529834,3.75724116944881,5.10290666981588,18.1730630698141,104.692145473507,3.71999835290322,26.7476324295349,1.4839682741505,5.27996556195813,7.45506086167746,1.72229624348015,1.76862790898108
"calcarine-inhibitory-0",52.4081272425278,2.17518168686143,1.49228023715819,2.62933664983754,8.6867679174352,1.15947798553127,10.0149192894984,2.35636835531778,2.87177559534437,16.5955881908007,1.50737874905677,16.8688134924697
"calcarine-inhibitory-1",1.83966037685451,0.869964513565734,4.18724971635682,2.66072499174955,2.87277148500847,5.5313127966156,4.94871054212431,41.0655113209615,0.639443686133623,1.98737537014701,24.0004898950351,8.03690293041947
"calcarine-inhibitory-2",1.36685099957707,25.1016168857703,0.562746016813674,1.07720172500785,3.70968831579093,2.51245923218024,2.16285585670524,0.507053132790498,13.4865237488207,0.780339878607546,0.456683550153664,2.33457488822571
"calcarine-inhibitory-3",0.943957646125566,18.9090904471529,6.54373993532453,1.48491461946466,3.70968831579093,7.01392887323497,5.52002125763048,2.1229294640368,7.49576015156195,1.65227948547387,1.50737874905677,6.01319418859725
"calcarine-inhibitory-4",3.96707465633503,1.82708190023329,0.562746016813674,7.95957018603908,39.2855932189537,0.557585882919007,11.8456001701947,0.68697367818322,1.31875083380735,4.52595100612579,2.32725053352864,1.74904909856385
"calcarine-inhibitory-6",0.954311870740071,13.3909134332115,0.869964513565734,1.94236152922969,2.06388801982009,1.8297810759746,0.814867946312244,0.882362315546199,4.26838158334695,0.51602948196768,1.72229624348015,1.21736954757196
