gene,celltype,group
ACTA2,pericyte,A
MYHH1,pericyte,A
PDE7B,pericyte,A
NEAT1,pericyte,A
ARHGAP29,pericyte,A
EPAS1,pericyte,A
LTBP1,pericyte,A
SLC30A10,pericyte,A
ATP1A2,pericyte,A
B2M,pericyte,A
