region,cluster_cell_type,genes
calcarine,astrocyte,TRIM9
calcarine,astrocyte,HIF3A
calcarine,astrocyte,SFXN5
calcarine,astrocyte,PTPRD
calcarine,astrocyte,ANKRD12
calcarine,astrocyte,ITPKB
calcarine,astrocyte,CCDC88A
calcarine,astrocyte,LIFR
calcarine,astrocyte,ADD3
calcarine,astrocyte,HPSE2
calcarine,astrocyte,C1orf61
calcarine,astrocyte,PRKN
calcarine,astrocyte,CALM1
calcarine,astrocyte,PHLPP1
calcarine,astrocyte,PTK2
calcarine,astrocyte,MGAT4C
calcarine,astrocyte,ZHX3
calcarine,astrocyte,DOCK3
calcarine,astrocyte,KMT2C
calcarine,astrocyte,RPS6KA2
calcarine,astrocyte,CLASP2
calcarine,astrocyte,DLC1
calcarine,astrocyte,FLRT2
calcarine,astrocyte,SAMD4A
calcarine,astrocyte,ARID1B
calcarine,astrocyte,TRIO
calcarine,astrocyte,CHPT1
calcarine,astrocyte,RANBP3L
calcarine,astrocyte,FNBP1
calcarine,astrocyte,GNAS
calcarine,astrocyte,MT1E
calcarine,astrocyte,SSBP2
calcarine,astrocyte,TMTC2
calcarine,astrocyte,AC073050.1
calcarine,astrocyte,GPRC5B
calcarine,astrocyte,CPEB4
calcarine,astrocyte,ASTN2
calcarine,astrocyte,GTF2I
calcarine,astrocyte,SGCD
calcarine,astrocyte,ARHGAP5
calcarine,astrocyte,RORB
calcarine,astrocyte,CRYAB
calcarine,astrocyte,PON2
calcarine,astrocyte,HMGB1
calcarine,astrocyte,SMYD3
calcarine,astrocyte,PRNP
calcarine,astrocyte,JMJD1C
calcarine,astrocyte,PTN
calcarine,astrocyte,FGFR3
calcarine,astrocyte,ARHGAP24
calcarine,astrocyte,AHI1
calcarine,astrocyte,GRIA2
calcarine,astrocyte,OPHN1
calcarine,astrocyte,SGIP1
calcarine,astrocyte,NCKAP5
calcarine,astrocyte,ARHGEF4
calcarine,astrocyte,PCDH7
calcarine,astrocyte,RFX3
calcarine,astrocyte,DCLK2
calcarine,astrocyte,SLC14A1
calcarine,astrocyte,RNF219-AS1
calcarine,astrocyte,MT1X
calcarine,astrocyte,MACROD2
calcarine,astrocyte,SLC35F1
calcarine,astrocyte,FAM107A
calcarine,astrocyte,MAPK4
calcarine,astrocyte,DDX5
calcarine,astrocyte,CAMK2G
calcarine,astrocyte,RBFOX1
calcarine,astrocyte,PDE7B
calcarine,astrocyte,TCF12
calcarine,astrocyte,BIRC6
calcarine,astrocyte,ANKS1B
calcarine,astrocyte,MGST1
calcarine,astrocyte,FBXL17
calcarine,astrocyte,CSGALNACT1
calcarine,astrocyte,ZFAND3
