region,cluster_cell_type,genes
calcarine,excitatory,FBXL5
calcarine,excitatory,ANKRD13C
calcarine,excitatory,NSD2
calcarine,excitatory,SCOC
calcarine,excitatory,SUB1
calcarine,excitatory,KIF13A
calcarine,excitatory,DLEU2
calcarine,excitatory,RPSA
calcarine,excitatory,PACRG
calcarine,excitatory,ACADVL
calcarine,excitatory,H2AFZ
calcarine,excitatory,ENO1
calcarine,excitatory,SNAP25-AS1
calcarine,excitatory,MACO1
calcarine,excitatory,ARL8B
calcarine,excitatory,FBXO33
calcarine,excitatory,RBBP6
calcarine,excitatory,KPNA5
calcarine,excitatory,CASK
calcarine,excitatory,QKI
calcarine,excitatory,TRIP11
calcarine,excitatory,RALGPS1
calcarine,excitatory,DZIP1
calcarine,excitatory,KCNK1
calcarine,excitatory,RPS23
calcarine,excitatory,PTPN5
calcarine,excitatory,NACA
calcarine,excitatory,LINC01725
calcarine,excitatory,SEM1
calcarine,excitatory,GPC1
calcarine,excitatory,DLGAP4
calcarine,excitatory,NR1D2
calcarine,excitatory,DLC1
calcarine,excitatory,ORC4
calcarine,excitatory,RANBP17
calcarine,excitatory,RPL5
calcarine,excitatory,CLTA
calcarine,excitatory,RNF157
calcarine,excitatory,TMEM131
calcarine,excitatory,MIR2052HG
calcarine,excitatory,ATP6AP2
calcarine,excitatory,ATP1B3
calcarine,excitatory,KCNH1
calcarine,excitatory,SLMAP
calcarine,excitatory,PHTF2
calcarine,excitatory,DTX3
calcarine,excitatory,GABBR1
calcarine,excitatory,NDUFA10
calcarine,excitatory,NQO2
calcarine,excitatory,ATM
calcarine,excitatory,AKAP12
calcarine,excitatory,TUBB
calcarine,excitatory,FARP1
calcarine,excitatory,PRPF4B
calcarine,excitatory,VPS35
calcarine,excitatory,MADD
calcarine,excitatory,TSPAN3
calcarine,excitatory,KLHDC3
calcarine,excitatory,SNX10
calcarine,excitatory,FBXO32
calcarine,excitatory,EDF1
calcarine,excitatory,RNF187
calcarine,excitatory,ATP5ME
calcarine,excitatory,ITM2C
calcarine,excitatory,RNF24
calcarine,excitatory,LRRN3
calcarine,excitatory,NMT1
calcarine,excitatory,TASP1
calcarine,excitatory,FNBP1
calcarine,excitatory,SCARB2
calcarine,excitatory,RPS25
calcarine,excitatory,RPL37
calcarine,excitatory,NWD2
calcarine,excitatory,SNX9
calcarine,excitatory,PIN1
calcarine,excitatory,DSCAML1
calcarine,excitatory,SIMC1
calcarine,excitatory,NRF1
calcarine,excitatory,SYTL2
calcarine,excitatory,MARCKS
calcarine,excitatory,MTA3
calcarine,excitatory,JARID2
calcarine,excitatory,TCEAL2
calcarine,excitatory,AC118549.1
calcarine,excitatory,CKAP5
calcarine,excitatory,KAT2A
calcarine,excitatory,KPNA3
calcarine,excitatory,TMEM160
calcarine,excitatory,RTL8C
calcarine,excitatory,RCOR3
calcarine,excitatory,RAB40C
calcarine,excitatory,CDC42
calcarine,excitatory,ZNF131
calcarine,excitatory,SPART
calcarine,excitatory,DCBLD2
calcarine,excitatory,REEP1
calcarine,excitatory,ZBTB44
calcarine,excitatory,PRUNE2
calcarine,excitatory,STX1A
calcarine,excitatory,VDAC3
calcarine,excitatory,NEO1
calcarine,excitatory,MTCL1
calcarine,excitatory,FSTL5
calcarine,excitatory,MRPL41
calcarine,excitatory,HACD3
calcarine,excitatory,BEX4
calcarine,excitatory,PCP4
calcarine,excitatory,OAT
calcarine,excitatory,DLG4
calcarine,excitatory,FBXW11
calcarine,excitatory,AP2B1
calcarine,excitatory,USP48
calcarine,excitatory,NECTIN3
calcarine,excitatory,ZNF706
calcarine,excitatory,TSHZ3
calcarine,excitatory,MKNK1
calcarine,excitatory,AP2A2
calcarine,excitatory,AVL9
calcarine,excitatory,MIGA1
calcarine,excitatory,SUN1
calcarine,excitatory,GABRD
calcarine,excitatory,MRPS30-DT
calcarine,excitatory,ST13
calcarine,excitatory,ADGRB2
calcarine,excitatory,PPME1
calcarine,excitatory,ST3GAL6
calcarine,excitatory,LNPEP
calcarine,excitatory,PHACTR3
calcarine,excitatory,PHTF1
calcarine,excitatory,SLC1A2
calcarine,excitatory,TSHZ1
calcarine,excitatory,SBNO1
calcarine,excitatory,KCNA2
calcarine,excitatory,MAP1LC3B
calcarine,excitatory,IPO7
calcarine,excitatory,SYNPO
calcarine,excitatory,KIAA1328
calcarine,excitatory,BTBD3
calcarine,excitatory,MTRNR2L12
calcarine,excitatory,APPBP2
calcarine,excitatory,CDH20
calcarine,excitatory,FAR2
calcarine,excitatory,AL139260.1
calcarine,excitatory,TAB2
calcarine,excitatory,MTX2
calcarine,excitatory,MAP3K7
calcarine,excitatory,CORO6
calcarine,excitatory,FAM213A
calcarine,excitatory,ME1
calcarine,excitatory,GRINA
calcarine,excitatory,SORCS3
calcarine,excitatory,RPS29
calcarine,excitatory,ATP5F1E
calcarine,excitatory,KIAA1958
calcarine,excitatory,WIPF2
calcarine,excitatory,SNU13
calcarine,excitatory,PGRMC1
calcarine,excitatory,SCG3
calcarine,excitatory,HS3ST5
calcarine,excitatory,TMEM106B
calcarine,excitatory,PPP3CC
calcarine,excitatory,ATP6V1C1
calcarine,excitatory,DNAJC7
calcarine,excitatory,DGCR2
calcarine,excitatory,ACSL4
calcarine,excitatory,PKIG
calcarine,excitatory,LMTK3
calcarine,excitatory,PHC3
calcarine,excitatory,PPA1
calcarine,excitatory,RPL6
calcarine,excitatory,MEGF9
calcarine,excitatory,VMP1
calcarine,excitatory,KCNQ1OT1
calcarine,excitatory,RC3H1
calcarine,excitatory,SLC41A2
calcarine,excitatory,PLPPR4
calcarine,excitatory,SFXN1
calcarine,excitatory,TRERF1
calcarine,excitatory,CAND1
calcarine,excitatory,FAM222B
calcarine,excitatory,H3F3B
calcarine,excitatory,OPTN
calcarine,excitatory,AGO4
calcarine,excitatory,SCFD2
calcarine,excitatory,SLTM
calcarine,excitatory,RBM33
calcarine,excitatory,SEPT2
calcarine,excitatory,QDPR
calcarine,excitatory,ARMC8
calcarine,excitatory,AC008415.1
calcarine,excitatory,RFPL1S
calcarine,excitatory,NPAS2
calcarine,excitatory,HUWE1
calcarine,excitatory,ANAPC5
calcarine,excitatory,RPS11
calcarine,excitatory,XRCC5
calcarine,excitatory,PNKD
calcarine,excitatory,CCDC7
calcarine,excitatory,PLEKHA7
calcarine,excitatory,B4GAT1
calcarine,excitatory,SPG7
calcarine,excitatory,REEP2
calcarine,excitatory,HNRNPM
calcarine,excitatory,SEMA3A
calcarine,excitatory,HMGCLL1
calcarine,excitatory,EPHA7
calcarine,excitatory,PPP2CB
calcarine,excitatory,ATE1
calcarine,excitatory,STX8
calcarine,excitatory,MAP3K2
calcarine,excitatory,NEXMIF
calcarine,excitatory,ITCH
calcarine,excitatory,SQSTM1
calcarine,excitatory,KHDRBS1
calcarine,excitatory,VPS45
calcarine,excitatory,ANXA6
calcarine,excitatory,LINC01609
calcarine,excitatory,TPR
calcarine,excitatory,GALNT11
calcarine,excitatory,C11orf58
calcarine,excitatory,FAM214A
calcarine,excitatory,RPL7A
calcarine,excitatory,INTS10
calcarine,excitatory,GOLGA8B
calcarine,excitatory,UBE2O
calcarine,excitatory,SENP5
calcarine,excitatory,ERCC6L2
calcarine,excitatory,BLCAP
calcarine,excitatory,TDRD3
calcarine,excitatory,RAB11B
calcarine,excitatory,LRCH3
calcarine,excitatory,CST3
calcarine,excitatory,AC245297.3
calcarine,excitatory,TRA2B
calcarine,excitatory,CEP57
calcarine,excitatory,KATNBL1
calcarine,excitatory,LSM14A
calcarine,excitatory,CDC40
calcarine,excitatory,MAMDC2
calcarine,excitatory,GALNT18
calcarine,excitatory,SCRN1
calcarine,excitatory,NMT2
calcarine,excitatory,TYRO3
calcarine,excitatory,TMEM59
calcarine,excitatory,IBTK
calcarine,excitatory,SND1
calcarine,excitatory,GAREM1
calcarine,excitatory,PRKCZ
calcarine,excitatory,LUZP1
calcarine,excitatory,CLCN4
calcarine,excitatory,KCNC1
calcarine,excitatory,ZBTB8OS
calcarine,excitatory,ABL2
calcarine,excitatory,CUL1
calcarine,excitatory,ADAMTSL1
calcarine,excitatory,EPHB1
calcarine,excitatory,SH3D19
calcarine,excitatory,LINC00662
calcarine,excitatory,DNAJC5
calcarine,excitatory,ZNF644
calcarine,excitatory,SLC25A4
calcarine,excitatory,UPF2
calcarine,excitatory,GPALPP1
calcarine,excitatory,PARM1
calcarine,excitatory,MAP1LC3A
calcarine,excitatory,SLC25A37
calcarine,excitatory,USP32
calcarine,excitatory,ZNF385D
calcarine,excitatory,MAPK9
calcarine,excitatory,NSMF
calcarine,excitatory,FNBP4
calcarine,excitatory,UPF3A
calcarine,excitatory,RPL11
calcarine,excitatory,ATXN7L1
calcarine,excitatory,ACTR3B
calcarine,excitatory,RNF111
calcarine,excitatory,RAB11FIP2
calcarine,excitatory,MOAP1
calcarine,excitatory,LRPPRC
calcarine,excitatory,OPHN1
calcarine,excitatory,LPGAT1
calcarine,excitatory,CRELD1
calcarine,excitatory,EML5
calcarine,excitatory,NR6A1
calcarine,excitatory,KIAA0319L
calcarine,excitatory,SNX32
calcarine,excitatory,IQSEC2
calcarine,excitatory,NEAT1
calcarine,excitatory,N4BP2L1
calcarine,excitatory,ANAPC10
calcarine,excitatory,SEPT8
calcarine,excitatory,GABARAPL2
calcarine,excitatory,AHCYL1
calcarine,excitatory,RBMS1
calcarine,excitatory,AMMECR1
calcarine,excitatory,LARP4B
calcarine,excitatory,KCNH3
calcarine,excitatory,DCAF5
calcarine,excitatory,MFSD6
calcarine,excitatory,PFDN5
calcarine,excitatory,CDR2
calcarine,excitatory,PEA15
calcarine,excitatory,USO1
calcarine,excitatory,SGCE
calcarine,excitatory,SFXN5
calcarine,excitatory,CLVS1
calcarine,excitatory,GOT1
calcarine,excitatory,LPIN1
calcarine,excitatory,CUL3
calcarine,excitatory,KIF2A
calcarine,excitatory,ERBIN
calcarine,excitatory,SYT13
calcarine,excitatory,UQCRC2
calcarine,excitatory,NAPA
calcarine,excitatory,DHX30
calcarine,excitatory,CDK8
calcarine,excitatory,KLHL3
calcarine,excitatory,TTC9B
calcarine,excitatory,DENND1B
calcarine,excitatory,LRRC4B
calcarine,excitatory,NRSN1
calcarine,excitatory,AL445250.1
calcarine,excitatory,SMC5
calcarine,excitatory,CYP46A1
calcarine,excitatory,REV1
calcarine,excitatory,RSBN1L
calcarine,excitatory,LGI1
calcarine,excitatory,CNOT6L
calcarine,excitatory,RPS2
calcarine,excitatory,TNPO2
calcarine,excitatory,SYNPR
calcarine,excitatory,DPP8
calcarine,excitatory,SNX27
calcarine,excitatory,PKIA
calcarine,excitatory,ATP13A2
calcarine,excitatory,AFF1
calcarine,excitatory,GBF1
calcarine,excitatory,WDR33
calcarine,excitatory,RAB1A
calcarine,excitatory,CYCS
calcarine,excitatory,RNF180
calcarine,excitatory,UTRN
calcarine,excitatory,ANKS1A
calcarine,excitatory,TMEM63B
calcarine,excitatory,ZSWIM5
calcarine,excitatory,EPHA3
calcarine,excitatory,PACSIN1
calcarine,excitatory,BACH2
calcarine,excitatory,PTCHD1-AS
calcarine,excitatory,MAP6
calcarine,excitatory,HNRNPLL
calcarine,excitatory,TTLL5
calcarine,excitatory,WIPF3
calcarine,excitatory,CBX5
calcarine,excitatory,ZFC3H1
calcarine,excitatory,GIGYF2
calcarine,excitatory,CD200
calcarine,excitatory,SMG7
calcarine,excitatory,MZT2B
calcarine,excitatory,RAB18
calcarine,excitatory,ACO2
calcarine,excitatory,KAT6A
calcarine,excitatory,CCND3
calcarine,excitatory,EP300
calcarine,excitatory,ZC2HC1A
calcarine,excitatory,SF1
calcarine,excitatory,SLC16A1-AS1
calcarine,excitatory,ATF6
calcarine,excitatory,RPL29
calcarine,excitatory,HACE1
calcarine,excitatory,FSD1L
calcarine,excitatory,PRB2
calcarine,excitatory,SLAIN1
calcarine,excitatory,LUC7L
calcarine,excitatory,MSI2
calcarine,excitatory,PLPP1
calcarine,excitatory,NSUN6
calcarine,excitatory,TMEM135
calcarine,excitatory,CPNE8
calcarine,excitatory,SAFB2
calcarine,excitatory,SPEN
calcarine,excitatory,RPL7
calcarine,excitatory,RBM5
calcarine,excitatory,METTL15
calcarine,excitatory,PLEKHB2
calcarine,excitatory,AHCTF1
calcarine,excitatory,MAT2A
calcarine,excitatory,TMEM14A
calcarine,excitatory,NDUFA5
calcarine,excitatory,NSMAF
calcarine,excitatory,SERGEF
calcarine,excitatory,RNLS
calcarine,excitatory,INTS11
calcarine,excitatory,NUDT4
calcarine,excitatory,AATK
calcarine,excitatory,ARL6IP4
calcarine,excitatory,SOS2
calcarine,excitatory,RPL3
calcarine,excitatory,ULK4
calcarine,excitatory,NCOR2
calcarine,excitatory,FCHO2
calcarine,excitatory,STUB1
calcarine,excitatory,ATP6V1F
calcarine,excitatory,ZNF519
calcarine,excitatory,SLC5A4-AS1
calcarine,excitatory,SUMO1
calcarine,excitatory,RBMX
calcarine,excitatory,B4GALT6
calcarine,excitatory,TBCB
calcarine,excitatory,P4HTM
calcarine,excitatory,TRMT9B
calcarine,excitatory,SLC22A10
calcarine,excitatory,PRKCI
calcarine,excitatory,UBE3D
calcarine,excitatory,ZNF654
calcarine,excitatory,TSHZ2
calcarine,excitatory,ARHGAP35
calcarine,excitatory,NT5C2
calcarine,excitatory,UBE2D2
calcarine,excitatory,TNK2
calcarine,excitatory,RIC8B
calcarine,excitatory,H2AFV
calcarine,excitatory,RUSC2
calcarine,excitatory,FEZ1
calcarine,excitatory,EFCAB7
calcarine,excitatory,ME3
calcarine,excitatory,UTY
calcarine,excitatory,EIF2AK2
calcarine,excitatory,AL592183.1
calcarine,excitatory,RALGAPA2
calcarine,excitatory,SCN3B
calcarine,excitatory,AGPAT4
calcarine,excitatory,HNRNPL
calcarine,excitatory,PPIP5K1
calcarine,excitatory,RABAC1
calcarine,excitatory,TBC1D1
calcarine,excitatory,GRM1
calcarine,excitatory,COX7A2
calcarine,excitatory,RIC3
calcarine,excitatory,ANO4
calcarine,excitatory,STX7
calcarine,excitatory,AASDHPPT
calcarine,excitatory,HTR2A
calcarine,excitatory,ZBTB4
calcarine,excitatory,ELP2
calcarine,excitatory,THSD7A
calcarine,excitatory,YEATS2
calcarine,excitatory,SEC24B
calcarine,excitatory,RPS4X
calcarine,excitatory,ADGRB1
calcarine,excitatory,PARG
calcarine,excitatory,EIF1B
calcarine,excitatory,SAT2
calcarine,excitatory,RAP1A
calcarine,excitatory,CRBN
calcarine,excitatory,TMX4
calcarine,excitatory,MRPS21
calcarine,excitatory,ADAR
calcarine,excitatory,PTPN12
calcarine,excitatory,SNX13
calcarine,excitatory,HOOK3
calcarine,excitatory,PTPN11
calcarine,excitatory,GPATCH2
calcarine,excitatory,ERP44
calcarine,excitatory,CNNM1
calcarine,excitatory,ZDBF2
calcarine,excitatory,BICDL1
calcarine,excitatory,IGSF21
calcarine,excitatory,FAM153C
calcarine,excitatory,API5
calcarine,excitatory,USP24
calcarine,excitatory,SH3BGRL2
calcarine,excitatory,DNAJA1
calcarine,excitatory,ATP5PF
calcarine,excitatory,MCCC1
calcarine,excitatory,TSGA10
calcarine,excitatory,PDCD6IP
calcarine,excitatory,KDM5A
calcarine,excitatory,GPR162
calcarine,excitatory,ZRANB3
calcarine,excitatory,ZYX
calcarine,excitatory,NHLRC2
calcarine,excitatory,CPD
calcarine,excitatory,LINC00623
calcarine,excitatory,DIS3L2
calcarine,excitatory,AC124854.1
calcarine,excitatory,SLIT3
calcarine,excitatory,CFAP221
calcarine,excitatory,DENND4C
calcarine,excitatory,PIKFYVE
calcarine,excitatory,ANAPC16
calcarine,excitatory,LRRC37B
calcarine,excitatory,PPFIA4
calcarine,excitatory,FAM85B
calcarine,excitatory,GSPT1
calcarine,excitatory,PDE7A
calcarine,excitatory,LY6H
calcarine,excitatory,COX7A2L
calcarine,excitatory,ORC2
calcarine,excitatory,IGSF8
calcarine,excitatory,GTF3C1
calcarine,excitatory,DHX29
calcarine,excitatory,CRTC3
calcarine,excitatory,TSC22D3
calcarine,excitatory,TOM1L2
calcarine,excitatory,DIRAS1
calcarine,excitatory,ZNF407
calcarine,excitatory,PRPF40A
calcarine,excitatory,BAG4
calcarine,excitatory,PRKAA2
calcarine,excitatory,PPFIA3
calcarine,excitatory,PHACTR4
calcarine,excitatory,RNF220
calcarine,excitatory,RETREG2
calcarine,excitatory,MFF
calcarine,excitatory,UBE2V2
calcarine,excitatory,FAM120A
calcarine,excitatory,RPS3
calcarine,excitatory,VPS36
calcarine,excitatory,HNRNPC
calcarine,excitatory,DIRC3
calcarine,excitatory,C4orf48
calcarine,excitatory,EXOC1
calcarine,excitatory,PPP2R2A
calcarine,excitatory,GAPVD1
calcarine,excitatory,ABI1
calcarine,excitatory,RMND5A
calcarine,excitatory,PRKAR2A
calcarine,excitatory,CCDC6
calcarine,excitatory,FEM1B
calcarine,excitatory,MGA
calcarine,excitatory,RLF
calcarine,excitatory,IP6K1
calcarine,excitatory,YTHDC1
calcarine,excitatory,SNX14
calcarine,excitatory,PPP4R2
calcarine,excitatory,LRFN2
calcarine,excitatory,SPATA7
calcarine,excitatory,PDHX
calcarine,excitatory,LY6E
calcarine,excitatory,SUCLA2
calcarine,excitatory,ATG2B
calcarine,excitatory,AP3B2
calcarine,excitatory,PER3
calcarine,excitatory,TFCP2
calcarine,excitatory,HNRNPA1
calcarine,excitatory,PLCB4
calcarine,excitatory,UBE2QL1
calcarine,excitatory,UBA1
calcarine,excitatory,FAM19A5
calcarine,excitatory,MAP7D2
calcarine,excitatory,MRFAP1
calcarine,excitatory,RNGTT
calcarine,excitatory,PYGB
calcarine,excitatory,VPS54
calcarine,excitatory,THRAP3
calcarine,excitatory,KIAA1841
calcarine,excitatory,PUM3
calcarine,excitatory,SET
calcarine,excitatory,AKAP10
calcarine,excitatory,CYTH3
calcarine,excitatory,HABP4
calcarine,excitatory,AP1G2
calcarine,excitatory,LINC00937
calcarine,excitatory,RPS6
calcarine,excitatory,YPEL5
calcarine,excitatory,KLF9
calcarine,excitatory,ZNF106
calcarine,excitatory,FHOD3
calcarine,excitatory,KANSL1L
calcarine,excitatory,RPS20
calcarine,excitatory,DLGAP1-AS4
calcarine,excitatory,CMTM4
calcarine,excitatory,UBA2
calcarine,excitatory,NDUFS2
calcarine,excitatory,ALCAM
calcarine,excitatory,LRCH1
calcarine,excitatory,CKMT1B
calcarine,excitatory,EXOC2
calcarine,excitatory,HNRNPH3
calcarine,excitatory,ARNTL
calcarine,excitatory,ICE1
calcarine,excitatory,C6orf62
calcarine,excitatory,PSMD14
calcarine,excitatory,MTHFD2L
calcarine,excitatory,NRN1
calcarine,excitatory,CRLF3
calcarine,excitatory,TXNL1
calcarine,excitatory,XIAP
calcarine,excitatory,EYA3
calcarine,excitatory,ALS2
calcarine,excitatory,DMTF1
calcarine,excitatory,UBAC2
calcarine,excitatory,MSH2
calcarine,excitatory,MINDY2
calcarine,excitatory,STEAP2
calcarine,excitatory,INTS6
calcarine,excitatory,LPCAT4
calcarine,excitatory,ARPC2
calcarine,excitatory,CASTOR3
calcarine,excitatory,USP8
calcarine,excitatory,FP671120.1
calcarine,excitatory,CRMP1
calcarine,excitatory,TOMM7
calcarine,excitatory,ACOT7
calcarine,excitatory,DDX18
calcarine,excitatory,RAPH1
calcarine,excitatory,ATP6V1G1
calcarine,excitatory,SLC36A4
calcarine,excitatory,NIM1K
calcarine,excitatory,ARFGAP1
calcarine,excitatory,KLC2
calcarine,excitatory,TNFRSF25
calcarine,excitatory,HTR1E
calcarine,excitatory,IRS2
calcarine,excitatory,SSU72
calcarine,excitatory,AC010127.1
calcarine,excitatory,CASC15
calcarine,excitatory,SRSF7
calcarine,excitatory,ZMYM3
calcarine,excitatory,FAU
calcarine,excitatory,RNF146
calcarine,excitatory,TRPS1
calcarine,excitatory,PDE4A
calcarine,excitatory,TECR
calcarine,excitatory,SH3KBP1
calcarine,excitatory,SRRM1
calcarine,excitatory,DDX3X
calcarine,excitatory,GDPD1
calcarine,excitatory,SMIM13
calcarine,excitatory,PUS7L
calcarine,excitatory,CASD1
calcarine,excitatory,SPOP
calcarine,excitatory,CLK1
calcarine,excitatory,RASGRF2
calcarine,excitatory,AP2S1
calcarine,excitatory,EIF4E
calcarine,excitatory,RPL27
calcarine,excitatory,TBCD
calcarine,excitatory,ST3GAL5
calcarine,excitatory,FBXO9
calcarine,excitatory,ARHGEF11
calcarine,excitatory,CNOT7
calcarine,excitatory,DCUN1D2
calcarine,excitatory,LANCL1
calcarine,excitatory,TMTC2
calcarine,excitatory,GNPTAB
calcarine,excitatory,AC007563.2
calcarine,excitatory,AC073365.1
calcarine,excitatory,ZNF532
calcarine,excitatory,UBP1
calcarine,excitatory,PCNT
calcarine,excitatory,MPPED2
calcarine,excitatory,CDC37
calcarine,excitatory,HSPB1
calcarine,excitatory,PTPA
calcarine,excitatory,MPP6
calcarine,excitatory,IL1RAPL2
calcarine,excitatory,CDKL1
calcarine,excitatory,SRSF4
calcarine,excitatory,CHIC1
calcarine,excitatory,RAD23B
calcarine,excitatory,AKAP13
calcarine,excitatory,RNF175
calcarine,excitatory,PTCHD4
calcarine,excitatory,SEC31A
calcarine,excitatory,PLP1
calcarine,excitatory,EMSY
calcarine,excitatory,KIF5B
calcarine,excitatory,ATP5MC2
calcarine,excitatory,ADAM11
calcarine,excitatory,TECPR2
calcarine,excitatory,MRPS5
calcarine,excitatory,ATP11B
calcarine,excitatory,LARS
calcarine,excitatory,KPNA1
calcarine,excitatory,RPTOR
calcarine,excitatory,PINK1
calcarine,excitatory,ZNF780B
calcarine,excitatory,SLC8A2
calcarine,excitatory,STARD7
calcarine,excitatory,PLCXD3
calcarine,excitatory,TRIM23
calcarine,excitatory,SLC6A7
calcarine,excitatory,SSR1
calcarine,excitatory,TUBB4B
calcarine,excitatory,CDC14B
calcarine,excitatory,ZC3H6
calcarine,excitatory,TIMM23B
calcarine,excitatory,RIMBP2
calcarine,excitatory,RAN
calcarine,excitatory,SNPH
calcarine,excitatory,MECP2
calcarine,excitatory,TPP2
calcarine,excitatory,BTBD7
calcarine,excitatory,GGNBP2
calcarine,excitatory,MBTD1
calcarine,excitatory,ETS2
calcarine,excitatory,GNAI1
calcarine,excitatory,TENT4B
calcarine,excitatory,PCDH10
calcarine,excitatory,GDA
calcarine,excitatory,GTF3A
calcarine,excitatory,KIZ
calcarine,excitatory,C1orf115
calcarine,excitatory,RYK
calcarine,excitatory,ASXL1
calcarine,excitatory,YIPF4
calcarine,excitatory,ANKRD49
calcarine,excitatory,NOP58
calcarine,excitatory,MTF2
calcarine,excitatory,HMG20A
calcarine,excitatory,NFE2L1
calcarine,excitatory,NOS1AP
calcarine,excitatory,MAPKBP1
calcarine,excitatory,NARS
calcarine,excitatory,PFDN2
calcarine,excitatory,MAML3
calcarine,excitatory,DIXDC1
calcarine,excitatory,TARSL2
calcarine,excitatory,CCND2
calcarine,excitatory,ATP6V1D
calcarine,excitatory,RAPGEFL1
calcarine,excitatory,KPNA6
calcarine,excitatory,PRKRIP1
calcarine,excitatory,STIM2
calcarine,excitatory,CCNL2
calcarine,excitatory,UNC5A
calcarine,excitatory,FUBP1
calcarine,excitatory,GPC6
calcarine,excitatory,CCDC138
calcarine,excitatory,UNC13B
calcarine,excitatory,GOLM1
calcarine,excitatory,ABAT
calcarine,excitatory,CACYBP
calcarine,excitatory,CAPN7
calcarine,excitatory,TMTC1
calcarine,excitatory,UBE2N
calcarine,excitatory,USP31
calcarine,excitatory,SLC22A23
calcarine,excitatory,CNRIP1
calcarine,excitatory,PRDX1
calcarine,excitatory,GALK2
calcarine,excitatory,HACD2
calcarine,excitatory,CCDC14
calcarine,excitatory,RPS9
calcarine,excitatory,TERF1
calcarine,excitatory,KMT5B
calcarine,excitatory,IPO5
calcarine,excitatory,NEK11
calcarine,excitatory,TXNDC16
calcarine,excitatory,NDUFA1
calcarine,excitatory,NUFIP2
calcarine,excitatory,MAP3K4
calcarine,excitatory,ABCA2
calcarine,excitatory,CEP295
calcarine,excitatory,ATAD1
calcarine,excitatory,GIT2
calcarine,excitatory,NAA25
calcarine,excitatory,GLMN
calcarine,excitatory,ZC3H15
calcarine,excitatory,CCSAP
calcarine,excitatory,ATP6AP1
calcarine,excitatory,LINC01106
calcarine,excitatory,CDH9
calcarine,excitatory,CDK6
calcarine,excitatory,TSC22D2
calcarine,excitatory,BMT2
calcarine,excitatory,CACUL1
calcarine,excitatory,RGS7BP
calcarine,excitatory,SIL1
calcarine,excitatory,SAT1
calcarine,excitatory,IQCB1
calcarine,excitatory,CHM
calcarine,excitatory,SMAD2
calcarine,excitatory,OXCT1
calcarine,excitatory,EZH1
calcarine,excitatory,MSH3
calcarine,excitatory,FAM153A
calcarine,excitatory,CHCHD2
calcarine,excitatory,MIR181A1HG
calcarine,excitatory,SAP18
calcarine,excitatory,SLC30A9
calcarine,excitatory,CAST
calcarine,excitatory,RALGAPB
calcarine,excitatory,SMAP2
calcarine,excitatory,EXTL2
calcarine,excitatory,PODXL2
calcarine,excitatory,HSPA1A
calcarine,excitatory,SRSF3
calcarine,excitatory,MYSM1
calcarine,excitatory,PITPNM2
calcarine,excitatory,EXOSC6
calcarine,excitatory,PCNP
calcarine,excitatory,ABHD2
calcarine,excitatory,MBOAT2
calcarine,excitatory,CSNK1E
calcarine,excitatory,MARCH7
calcarine,excitatory,ATP6V0E2
calcarine,excitatory,ETV6
calcarine,excitatory,LRP1
calcarine,excitatory,DYNC1LI2
calcarine,excitatory,TRPC4AP
calcarine,excitatory,RNF38
calcarine,excitatory,FBXO22
calcarine,excitatory,WDR47
calcarine,excitatory,UHRF2
calcarine,excitatory,PIK3C2A
calcarine,excitatory,RASD1
calcarine,excitatory,OSBPL9
calcarine,excitatory,BICC1
calcarine,excitatory,ATF7IP
calcarine,excitatory,SMG6
calcarine,excitatory,MROH1
calcarine,excitatory,SLC6A15
calcarine,excitatory,SFSWAP
calcarine,excitatory,FAM117B
calcarine,excitatory,APPL1
calcarine,excitatory,SLC9B2
calcarine,excitatory,HNRNPD
calcarine,excitatory,RACK1
calcarine,excitatory,RPS18
calcarine,excitatory,METTL25
calcarine,excitatory,FSD1
calcarine,excitatory,POLK
calcarine,excitatory,USP7
calcarine,excitatory,DDX1
calcarine,excitatory,CBR4
calcarine,excitatory,NUMA1
calcarine,excitatory,NR2C1
calcarine,excitatory,KLHDC2
calcarine,excitatory,PRMT2
calcarine,excitatory,MIA3
calcarine,excitatory,WDR26
calcarine,excitatory,SH3PXD2A
calcarine,excitatory,FIGN
calcarine,excitatory,NFE2L2
calcarine,excitatory,CLIP4
calcarine,excitatory,ATP5MC3
calcarine,excitatory,AP3S1
calcarine,excitatory,STRAP
calcarine,excitatory,CROCC
calcarine,excitatory,GLYR1
calcarine,excitatory,TAPT1-AS1
calcarine,excitatory,TTLL11
calcarine,excitatory,GALNT9
calcarine,excitatory,MED23
calcarine,excitatory,HCFC1R1
calcarine,excitatory,EWSR1
calcarine,excitatory,NUDC
calcarine,excitatory,PAIP2
calcarine,excitatory,AARS
calcarine,excitatory,OGFRL1
calcarine,excitatory,SMS
calcarine,excitatory,PHACTR2
calcarine,excitatory,CRTC1
calcarine,excitatory,OGFR
calcarine,excitatory,RAB14
calcarine,excitatory,MAN1C1
calcarine,excitatory,CAMKMT
calcarine,excitatory,SSB
calcarine,excitatory,TP53BP1
calcarine,excitatory,PTPN9
calcarine,excitatory,LINC00513
calcarine,excitatory,MTMR1
calcarine,excitatory,ARHGEF25
calcarine,excitatory,ARHGDIG
calcarine,excitatory,ISCU
calcarine,excitatory,EXOC5
calcarine,excitatory,TTC39B
calcarine,excitatory,ANO10
calcarine,excitatory,PLK2
calcarine,excitatory,IREB2
calcarine,excitatory,PIP5K1C
